match_alias,evaluation_eligible,heldout_fit_eligible,target_outside_zero_credit,mrr,hit_at_1,hit_at_3,tied_target_blocks
development_01,885,885,0,0.583312707380504,0.36610169491525424,0.7581920903954802,0
development_02,801,801,0,0.5845505617977529,0.3807740324594257,0.7303370786516854,0
development_03,952,952,0,0.5850882019474456,0.3865546218487395,0.7352941176470589,0
development_04,877,877,0,0.5893400119454851,0.37058152793614596,0.7799315849486887,0
development_05,861,861,0,0.5821387091421935,0.37746806039488967,0.7247386759581882,0
development_06,629,629,0,0.5508516920281625,0.34181240063593005,0.6899841017488076,0
development_07,764,764,0,0.5441208551483421,0.32460732984293195,0.68717277486911,0
development_08,734,734,0,0.55680550149215,0.33923705722070846,0.7275204359673024,0
development_09,724,724,0,0.5774132903621854,0.36187845303867405,0.7527624309392266,0
