fixture,candidate,status,components,permutations,structure_exact,production_preserved,verification_preserved,reason,evidence_sha256
lateral_x15_y2,expanding,passed,3,1,true,true,true,accepted,90a6ba30c26b1f1ad391e0855dad38c7f78cca97f21c97ef7002ec63584b2b9b
lateral_x15_y2,constant_width,passed,3,1,true,true,true,accepted,7492eac898f3f7d82eb2f01cb8fa43345891400cac156360a549e0a27df81639
lateral_x15_y5,isotropic,passed,3,1,true,true,true,accepted,97243aba0caa8d7b9b8da6ac438a8e798d985cdaf8fd3aeca12c8cab8c94d2fd
lateral_x15_y5,expanding,passed,3,1,true,true,true,accepted,cf91fdaf386192afb49625e0e72bd2fd13f34335afbeca7207e1689d768510d1
lateral_x15_y5,constant_width,passed,3,1,true,true,true,accepted,0220c3a3e2fca99e9fbbad834978324e89976873700f594fffcfa8165158b3b5
depth_x4_y0,isotropic,passed,3,1,true,true,true,accepted,8c6ad8e219a56b5ff7ff012482bdec799929d7aa97dfdf7f5690311347c1c2eb
depth_x4_y0,expanding,passed,3,1,true,true,true,accepted,61eaa404e8bbbb38128a8ce4c1c10bb226c8c5d23c92d1cfc04f8a3aa14068fd
depth_x4_y0,constant_width,passed,3,1,true,true,true,accepted,840303dc00e26ea377bd1be121efd89886ec6e5216a4609f790207e301a2d9e6
depth_x4_y2,isotropic,passed,3,1,true,true,true,accepted,7c347a83fcb5b5548cf92b5ec1c623ebef7573766bb8a0aff02a6328d6779ca8
depth_x4_y2,expanding,passed,3,1,true,true,true,accepted,980630e21443151f311a5d69c5459c176108b284de907208d8d0a31df9c7b04a
depth_x4_y2,constant_width,passed,3,1,true,true,true,accepted,6368b4265bfe68dc72ec9dde0104348850d817f4b28b1d2e06408841255ca0fa
depth_x5_y0,isotropic,passed,3,1,true,true,true,accepted,ca76429a19b9dd26f34ec9195d186ac2f585bf1f4169511abe8708787aa9452a
depth_x5_y0,expanding,passed,3,1,true,true,true,accepted,a2a21307441da57736d34527d1befdb71d053b5141ced2dfd361437c0eef3de0
depth_x5_y0,constant_width,passed,3,1,true,true,true,accepted,4fb53547a095cc9d399e768c52bd2007993d7755383a57ee24e68625a738beec
depth_x5_y2,isotropic,passed,3,1,true,true,true,accepted,efb6e94ed619ac7059c78758436136b72139f4e0226cb0845e5b92e6e2085250
depth_x5_y2,expanding,passed,3,1,true,true,true,accepted,4c925fbb6359df267b176970fff1824f79bad0f10c8ba81e74b8d92100dd0788
depth_x5_y2,constant_width,passed,3,1,true,true,true,accepted,58e50485e462849cfa45478de20595d602960a7ced064b2c23370040a0cfd888
depth_x5.5_y0,isotropic,passed,3,1,true,true,true,accepted,0795317ecf6c7df80a195342e8d58c9fd931e578b769003251d3b2dc8fa58c38
depth_x5.5_y0,expanding,passed,3,1,true,true,true,accepted,e188b878269b122b0f2cb07de9135d453126d394e852d522cba3b67aa8cd57f8
depth_x5.5_y0,constant_width,passed,3,1,true,true,true,accepted,dc83354203178134fad92277a88a80a862c60ba52a0b3f21af6794fb8bcd9adc
depth_x5.5_y2,isotropic,passed,3,1,true,true,true,accepted,cc3669b59f8913f6a638a0531f975d36a59da87eb1fe54ccc91d361c9e9fd83f
depth_x5.5_y2,expanding,passed,3,1,true,true,true,accepted,179df81d9d61efd64d990da6c00693794c2efe289e336cde512b104c14a4c3ec
depth_x5.5_y2,constant_width,passed,3,1,true,true,true,accepted,90fba6e5dd659d165a8004c72c9e8efd4540c2cf2167c2895def2d02dcc76e7e
depth_x6_y0,isotropic,passed,3,1,true,true,true,accepted,2f042bd07f427b073b8038c51d5910bcb22bbc5b271f2d4ff38813b8bd369f09
depth_x6_y0,expanding,passed,3,1,true,true,true,accepted,1d84d3afbcb4ca51f79f9ab36c53f988b7396afae50544acf4d8f4508c9ab58a
depth_x6_y0,constant_width,passed,3,1,true,true,true,accepted,c4e1c23a052f2ca5dbf614b3906c5469b3e952c89cbee76b7073d7a0ea8a8af5
depth_x6_y2,isotropic,passed,3,1,true,true,true,accepted,c4dcd9e5c2cdfb8680516aeb691c0d60d536a1b7886ec3f75d898715ff292fd1
depth_x6_y2,expanding,passed,3,1,true,true,true,accepted,5be65f2b5daeb5bef3eaf5a1851a84f596e01c4f27a639485cf6b90b7b2d451a
depth_x6_y2,constant_width,passed,3,1,true,true,true,accepted,9788131c9963b2a234b0b956c3d4f076194aabaf94ccadad32098c9d8a1ca251
depth_x10_y0,isotropic,passed,3,1,true,true,true,accepted,06bdedd33f1eff5734d379a5b64ef046c0924ac762ac79b1321a0d84b6e3386b
depth_x10_y0,expanding,passed,3,1,true,true,true,accepted,f5de04d26b80a3fa803dcfd3ab0cac393d9d7dbe12da85f50c743bfd84ee688e
depth_x10_y0,constant_width,passed,3,1,true,true,true,accepted,bcb82b56734d46c1aeaa85ca8170d01cf5363b5b6f03fb66205bf58a1c0b627b
depth_x10_y2,isotropic,passed,3,1,true,true,true,accepted,d80aaddfc3bcf3f137e506cf7ab78d107c781840c732af85777adcbdb87fbf78
depth_x10_y2,expanding,passed,3,1,true,true,true,accepted,ccedfe974bc7e5e4c72ba3fdf1748b5852fec1003e6996a4a454f05d9f4030a7
depth_x10_y2,constant_width,passed,3,1,true,true,true,accepted,17d80264bdffef4a3ef8250dc26da4c683094c5b5960b5087687f84d5a5ba4ec
depth_x20_y0,isotropic,passed,3,1,true,true,true,accepted,a58b509078cb6013a236ae0c2d3d9d73d4ac5df4a509b8d9d233d1f4552ca661
depth_x20_y0,expanding,passed,3,1,true,true,true,accepted,c3184c94e7a33996d5be81cb01d029090777b0e9dcb2510baa23f7f47bcbdefe
depth_x20_y0,constant_width,passed,3,1,true,true,true,accepted,522092f26cabafc54f1489c27fb80210e6065cce71bf2bc586b1415d76d2bedc
depth_x20_y2,isotropic,passed,3,1,true,true,true,accepted,67f3deab6e49da973cc96303187e4df570be7077c5337ee65c8ec7437dcf6256
depth_x20_y2,expanding,passed,3,1,true,true,true,accepted,c70444744a495d59469dbd4f2d33f88dd1c03197b46b495da461f4ca699173b6
depth_x20_y2,constant_width,passed,3,1,true,true,true,accepted,deb68a806aa73d7aa3bde69a57fa232f0bed9fac6a0e2cce6c3e05d478030a6c
depth_x40_y0,isotropic,passed,3,1,true,true,true,accepted,0ec3c777b495064a80e4882199162c273f0bc52bb7d740f86a29a5c5228d7999
depth_x40_y0,expanding,passed,3,1,true,true,true,accepted,9445f5a4ac8c4969877007e22a907849a3f375b5399e0cab693641f0866e7f5c
