fixture,blocked,reason,evidence_sha256
missing_derivative,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
ambiguous_roots,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
malformed_region,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
inconsistent_onset,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
false_identity,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
corrupt_witness,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
biased_difference,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
nonfinite,true,VerificationError,fbfe2012cd1946904aa7517058f4ad9b2077c2a5028c1fd6e8383117b09ab429
limit,true,TimeoutError,90fa0955e0b4a8249d6dabb681eca6a5bdfdcc1c59c0e6a0720a2738c1d61385
