match_alias,evaluation_eligible,fit_eligible,target_outside_zero_credit,mrr,hit_at_1,hit_at_3,tied_target_blocks
reserved_01,835,835,0,0.6072792510217659,0.3976047904191617,0.7724550898203593,0
reserved_02,996,996,0,0.6009940555874291,0.3885542168674699,0.7700803212851406,0
reserved_03,814,814,0,0.5907277407277407,0.3796068796068796,0.7641277641277642,0
reserved_04,765,765,0,0.5995580454403984,0.3869281045751634,0.7660130718954249,0
reserved_05,659,659,0,0.5915932027844015,0.3899848254931715,0.7511380880121397,0
reserved_06,844,844,0,0.6054554088618069,0.40639810426540285,0.7630331753554502,0
reserved_07,751,751,0,0.5637493923445988,0.340878828229028,0.7390146471371505,0
reserved_08,847,847,0,0.5700263300912651,0.35537190082644626,0.7225501770956316,0
reserved_09,835,835,0,0.5638641764090866,0.3520958083832335,0.7137724550898203,0
reserved_10,823,823,0,0.5652876622499952,0.353584447144593,0.7253948967193196,0
