match_alias,m0_mrr,m1_mrr,m1_minus_m0_mrr,m1_minus_m0_hit_at_1,m1_minus_m0_hit_at_3
reserved_01,0.48473624180211006,0.6032820074137439,0.11854576561163388,0.13652694610778443,0.13293413173652702
reserved_02,0.5019522534582775,0.5923288391661886,0.09037658570791107,0.10742971887550201,0.11847389558232935
reserved_03,0.5013143013143013,0.5787912912912913,0.07747698997698993,0.07985257985257987,0.12285012285012287
reserved_04,0.5042696337794377,0.5975241207594149,0.09325448697997718,0.12549019607843137,0.07973856209150332
reserved_05,0.5122166823229038,0.5849838620324205,0.07276717970951663,0.09711684370257961,0.06828528072837636
reserved_06,0.49459772060482965,0.5986999736703528,0.10410225306552312,0.12914691943127965,0.11966824644549767
reserved_07,0.49240483588020206,0.5547534504258872,0.06234861454568513,0.050599201065246346,0.1131824234354194
reserved_08,0.47101581679503757,0.5613106950769289,0.09029487828189131,0.09681227863046046,0.11334120425029515
reserved_09,0.4618543864651649,0.5584241041726072,0.09656971770744233,0.10419161676646707,0.10299401197604796
reserved_10,0.44897201488939037,0.5599355821713051,0.11096356728191475,0.13001215066828672,0.12636695018226007
