match_alias,evaluation_eligible,fit_eligible,target_outside_zero_credit,mrr,hit_at_1,hit_at_3,tied_target_blocks
reserved_01,835,835,0,0.6032820074137439,0.3904191616766467,0.7748502994011977,0
reserved_02,996,996,0,0.5923288391661886,0.3744979919678715,0.7761044176706827,0
reserved_03,814,814,0,0.5787912912912913,0.35995085995085996,0.769041769041769,0
reserved_04,765,765,0,0.5975241207594149,0.3895424836601307,0.7686274509803922,0
reserved_05,659,659,0,0.5849838620324205,0.37329286798179057,0.7541729893778453,0
reserved_06,844,844,0,0.5986999736703528,0.39691943127962087,0.7535545023696683,0
reserved_07,751,751,0,0.5547534504258872,0.3249001331557923,0.7323568575233023,0
reserved_08,847,847,0,0.5613106950769289,0.3400236127508855,0.717827626918536,0
reserved_09,835,835,0,0.5584241041726072,0.3473053892215569,0.7017964071856287,0
reserved_10,823,823,0,0.5599355821713051,0.34143377885783716,0.7168894289185905,0
