match_alias,m1_mrr,m2_mrr,m2_minus_m1_mrr,m2_minus_m1_hit_at_1,m2_minus_m1_hit_at_3
reserved_01,0.6032820074137439,0.6072792510217659,0.003997243608022005,0.007185628742514993,-0.0023952095808383866
reserved_02,0.5923288391661886,0.6009940555874291,0.008665216421240518,0.014056224899598402,-0.0060240963855421326
reserved_03,0.5787912912912913,0.5907277407277407,0.011936449436449448,0.019656019656019652,-0.004914004914004844
reserved_04,0.5975241207594149,0.5995580454403984,0.002033924680983512,-0.002614379084967311,-0.002614379084967311
reserved_05,0.5849838620324205,0.5915932027844015,0.006609340751981052,0.016691957511380917,-0.003034901365705611
reserved_06,0.5986999736703528,0.6054554088618069,0.006755435191454162,0.009478672985781977,0.009478672985781977
reserved_07,0.5547534504258872,0.5637493923445988,0.008995941918711559,0.015978695073235683,0.0066577896138482195
reserved_08,0.5613106950769289,0.5700263300912651,0.008715635014336254,0.015348288075560768,0.0047225501770956635
reserved_09,0.5584241041726072,0.5638641764090866,0.005440072236479354,0.004790419161676607,0.0119760479041916
reserved_10,0.5599355821713051,0.5652876622499952,0.005352080078690036,0.012150668286755817,0.008505467800729027
