fixture,candidate,component,intervals,estimate,previous_difference,absolute_reference_error,relative_reference_error,reference_available
axial_1,constant_width,maximum,2048,0.0,0.0,0.0,,True
axial_2,isotropic,individual_1,16,0.24907281620533275,,3.3478989600654874e-05,0.00013439640124091013,True
axial_2,isotropic,individual_1,32,0.24910434888523827,3.1532679905521555e-05,1.946309695133319e-06,7.813169448850225e-06,True
axial_2,isotropic,individual_1,64,0.24910617609834226,1.8272131039887007e-06,1.1909659114461846e-07,4.780954694517923e-07,True
axial_2,isotropic,individual_1,128,0.24910628779278762,1.1169444535941153e-07,7.402145785206926e-09,2.97148082083374e-08,True
axial_2,isotropic,individual_1,256,0.24910629473295107,6.940163443935887e-09,4.619823412710389e-10,1.8545590785231797e-09,True
axial_2,isotropic,individual_1,512,0.24910629516606975,4.331186798101072e-10,2.8863661460931667e-11,1.1586885605739091e-10,True
axial_2,isotropic,individual_1,1024,0.24910629519312963,2.7059882112823175e-11,1.8037793481084918e-12,7.241002667945339e-12,True
axial_2,isotropic,individual_1,2048,0.24910629519482066,1.6910361999578072e-12,1.1274314815068465e-13,4.525905218993347e-13,True
axial_2,isotropic,union,16,0.24907281620533275,,3.3478989600654874e-05,0.00013439640124091013,True
axial_2,isotropic,union,32,0.24910434888523827,3.1532679905521555e-05,1.946309695133319e-06,7.813169448850225e-06,True
axial_2,isotropic,union,64,0.24910617609834226,1.8272131039887007e-06,1.1909659114461846e-07,4.780954694517923e-07,True
axial_2,isotropic,union,128,0.24910628779278762,1.1169444535941153e-07,7.402145785206926e-09,2.97148082083374e-08,True
axial_2,isotropic,union,256,0.24910629473295107,6.940163443935887e-09,4.619823412710389e-10,1.8545590785231797e-09,True
axial_2,isotropic,union,512,0.24910629516606975,4.331186798101072e-10,2.8863661460931667e-11,1.1586885605739091e-10,True
axial_2,isotropic,union,1024,0.24910629519312963,2.7059882112823175e-11,1.8037793481084918e-12,7.241002667945339e-12,True
axial_2,isotropic,union,2048,0.24910629519482066,1.6910361999578072e-12,1.1274314815068465e-13,4.525905218993347e-13,True
axial_2,isotropic,maximum,16,0.24907281620533275,,3.3478989600654874e-05,0.00013439640124091013,True
axial_2,isotropic,maximum,32,0.24910434888523827,3.1532679905521555e-05,1.946309695133319e-06,7.813169448850225e-06,True
axial_2,isotropic,maximum,64,0.24910617609834226,1.8272131039887007e-06,1.1909659114461846e-07,4.780954694517923e-07,True
axial_2,isotropic,maximum,128,0.24910628779278762,1.1169444535941153e-07,7.402145785206926e-09,2.97148082083374e-08,True
