fixture,candidate,historical_status,switch_count,interior_switch_count,endpoint_switch_count,maximizing_defender_count,tie_interval_count,multiway_switch_count,minimum_switch_spacing,piecewise_reference,piecewise_repeat,piecewise_repeat_difference,unsplit_adaptive,unsplit_difference,direct_simpson_65536,direct_difference,historical_direct_32768_65536_difference,split_simpson_32768,split_simpson_65536,split_simpson_difference,split_32768_intervals,split_32768_evaluations,split_65536_intervals,split_65536_evaluations,controlled_intervals,controlled_reference_error,available
axial_1,isotropic,control,0,0,0,1,0,0,1.0,0.0015565322681586188,0.0015565322681586186,2.168404344971009e-19,0.0015565322681586188,0.0,0.0015565322681586186,2.168404344971009e-19,1.3010426069826053e-18,0.0015565322681586199,0.0015565322681586186,1.3010426069826053e-18,32768,32769,65536,65537,512,2.886369680592249e-11,True
axial_1,expanding,control,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32768,32769,65536,65537,512,0.0,True
axial_1,constant_width,control,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32768,32769,65536,65537,512,0.0,True
axial_2,isotropic,control,0,0,0,1,0,0,1.0,0.2491062951949334,0.24910629519493344,2.7755575615628914e-17,0.2491062951949334,0.0,0.24910629519493344,2.7755575615628914e-17,0.0,0.24910629519493344,0.24910629519493344,0.0,32768,32769,65536,65537,512,2.8863661460931667e-11,True
axial_2,expanding,control,0,0,0,1,0,0,1.0,0.725,0.725,0.0,0.725,0.0,0.7249999999998181,1.8185453143360064e-13,9.092726571680032e-13,0.725,0.725,0.0,32770,32773,65538,65541,2048,4.4567665113959265e-09,True
axial_2,constant_width,control,0,0,0,1,0,0,1.0,0.725,0.725,0.0,0.725,0.0,0.7249999999998181,1.8185453143360064e-13,9.092726571680032e-13,0.725,0.725,0.0,32770,32773,65538,65541,2048,4.4567665113959265e-09,True
axial_3,isotropic,control,0,0,0,1,0,0,1.0,0.12533141373155002,0.12533141373155002,0.0,0.12533141373155002,0.0,0.12533141373155002,0.0,0.0,0.12533141373155002,0.12533141373155002,0.0,32768,32769,65536,65537,512,0.0,True
axial_3,expanding,control,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32768,32769,65536,65537,512,0.0,True
axial_3,constant_width,control,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32768,32769,65536,65537,512,0.0,True
axial_4,isotropic,control,0,0,0,1,0,0,1.0,0.0015565322681586195,0.0015565322681586192,2.168404344971009e-19,0.0015565322681586195,0.0,0.0015565322681586186,8.673617379884035e-19,1.3010426069826053e-18,0.0015565322681586199,0.0015565322681586186,1.3010426069826053e-18,32768,32769,65536,65537,512,2.8863696155401186e-11,True
axial_4,expanding,control,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32768,32769,65536,65537,512,0.0,True
axial_4,constant_width,control,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32768,32769,65536,65537,512,0.0,True
lateral_x5_y0,isotropic,control,0,0,0,1,0,0,1.0,0.2491062951949334,0.24910629519493344,2.7755575615628914e-17,0.2491062951949334,0.0,0.24910629519493344,2.7755575615628914e-17,0.0,0.24910629519493344,0.24910629519493344,0.0,32768,32769,65536,65537,512,2.8863661460931667e-11,True
lateral_x5_y0,expanding,control,0,0,0,1,0,0,1.0,0.725,0.725,0.0,0.725,0.0,0.7249999999998181,1.8185453143360064e-13,9.092726571680032e-13,0.725,0.725,0.0,32770,32773,65538,65541,2048,4.4567665113959265e-09,True
lateral_x5_y0,constant_width,control,0,0,0,1,0,0,1.0,0.725,0.725,0.0,0.725,0.0,0.7249999999998181,1.8185453143360064e-13,9.092726571680032e-13,0.725,0.725,0.0,32770,32773,65538,65541,2048,4.4567665113959265e-09,True
lateral_x5_y1,isotropic,control,0,0,0,1,0,0,1.0,0.21983553392385266,0.21983553392385266,0.0,0.21983553392385266,0.0,0.21983553392385266,0.0,0.0,0.21983553392385266,0.21983553392385266,0.0,32768,32769,65536,65537,512,2.547215216530674e-11,True
lateral_x5_y1,expanding,control,0,0,0,1,0,0,1.0,0.5424834469711288,0.5424834469711288,0.0,0.5424834469711288,0.0,0.5424834469713616,2.3281376826389533e-13,7.909228827429615e-13,0.5424834469711289,0.5424834469711288,1.1102230246251565e-16,32770,32773,65538,65541,2048,7.57481488644629e-09,True
lateral_x5_y1,constant_width,control,0,0,0,1,0,0,1.0,0.33600982261474244,0.33600982261474244,0.0,0.33600982261474244,0.0,0.33600982261497364,2.3120394487818885e-13,7.542855229303314e-13,0.33600982261474244,0.3360098226147424,5.551115123125783e-17,32770,32773,65538,65541,2048,7.494428078125281e-09,True
lateral_x5_y2,isotropic,control,0,0,0,1,0,0,1.0,0.15109060556315299,0.15109060556315299,0.0,0.15109060556315299,0.0,0.15109060556315299,0.0,0.0,0.15109060556315299,0.15109060556315299,0.0,32768,32769,65536,65537,512,1.7506718297255475e-11,True
lateral_x5_y2,expanding,control,0,0,0,1,0,0,1.0,0.22779054835975454,0.22779054835975454,0.0,0.22779054835975454,0.0,0.2277905483597581,3.552713678800501e-15,7.085998454670062e-14,0.22779054835975465,0.2277905483597546,5.551115123125783e-17,32772,32775,65538,65541,2048,5.532406754937824e-10,True
lateral_x5_y2,constant_width,control,0,0,0,1,0,0,1.0,0.08080528061931036,0.08080528061931036,0.0,0.08080528061931036,0.0,0.0808052806193247,1.4335754805472334e-14,1.6860124407713784e-13,0.0808052806193105,0.08080528061931036,1.3877787807814457e-16,32772,32775,65538,65541,2048,4.654168578310802e-10,True
lateral_x5_y5,isotropic,control,0,0,0,1,0,0,1.0,0.010944966757152726,0.010944966757152726,0.0,0.010944966757152726,0.0,0.010944966757152725,1.734723475976807e-18,1.734723475976807e-18,0.010944966757152723,0.010944966757152725,1.734723475976807e-18,32768,32769,65536,65537,512,1.2681834749006526e-12,True
lateral_x5_y5,expanding,control,0,0,0,1,0,0,1.0,0.00018246150343912597,0.00018246150343912597,0.0,0.00018246150343912597,0.0,0.00018246150343912,5.9631119486702744e-18,2.593140546042205e-16,0.00018246150343912657,0.00018246150343912603,5.421010862427522e-19,32770,32773,65538,65541,512,4.059642162365651e-11,True
lateral_x5_y5,constant_width,control,0,0,0,1,0,0,1.0,2.983832874249849e-05,2.983832874249849e-05,0.0,2.983832874249849e-05,0.0,2.983832874249688e-05,1.6093625997831706e-18,7.386466113236401e-17,2.9838328742499736e-05,2.9838328742498563e-05,1.1722935989999517e-18,32770,32773,65538,65541,512,6.4957665880601995e-12,True
lateral_x10_y0,isotropic,control,0,0,0,1,0,0,1.0,0.25066268375731304,0.25066268375731304,0.0,0.25066268375731304,0.0,0.2506626837573131,5.551115123125783e-17,5.551115123125783e-17,0.25066268375731304,0.2506626837573131,5.551115123125783e-17,32768,32769,65536,65537,512,6.622480341889059e-14,True
lateral_x10_y0,expanding,control,0,0,0,1,0,0,1.0,0.475,0.475,0.0,0.475,0.0,0.4749999999998182,1.8179902028236938e-13,9.093836794704657e-13,0.475,0.475,0.0,32770,32773,65538,65541,2048,4.456766566907078e-09,True
lateral_x10_y0,constant_width,control,0,0,0,1,0,0,1.0,0.475,0.475,0.0,0.475,0.0,0.4749999999998182,1.8179902028236938e-13,9.093836794704657e-13,0.475,0.475,0.0,32770,32773,65538,65541,2048,4.456766566907078e-09,True
lateral_x10_y1,isotropic,control,0,0,0,1,0,0,1.0,0.22120904200937072,0.22120904200937072,0.0,0.22120904200937072,0.0,0.22120904200937072,0.0,2.7755575615628914e-17,0.22120904200937075,0.22120904200937072,2.7755575615628914e-17,32768,32769,65536,65537,512,5.845324224651449e-14,True
lateral_x10_y1,expanding,control,0,0,0,1,0,0,1.0,0.4101291151321267,0.4101291151321267,0.0,0.4101291151321267,0.0,0.410129115132065,6.167288901792745e-14,7.110978472724128e-13,0.41012911513212674,0.41012911513212674,0.0,32770,32773,65538,65541,2048,2.682646826901447e-09,True
lateral_x10_y1,constant_width,control,0,0,0,1,0,0,1.0,0.350354895289881,0.350354895289881,0.0,0.350354895289881,0.0,0.3503548952898228,5.823119764158946e-14,6.914468997365475e-13,0.3503548952898811,0.35035489528988106,5.551115123125783e-17,32770,32773,65538,65541,2048,2.5781770052191177e-09,True
lateral_x10_y2,isotropic,control,0,0,0,1,0,0,1.0,0.15203460294466228,0.15203460294466228,0.0,0.15203460294466228,0.0,0.15203460294466228,0.0,0.0,0.15203460294466228,0.15203460294466228,0.0,32768,32769,65536,65537,512,4.016231791581504e-14,True
lateral_x10_y2,expanding,control,0,0,0,1,0,0,1.0,0.26121259922828755,0.26121259922828755,0.0,0.26121259922828755,0.0,0.26121259922808887,1.9867441025667176e-13,9.383605004131823e-13,0.2612125992282875,0.2612125992282875,0.0,32770,32773,65538,65541,2048,2.8292931886220174e-09,True
lateral_x10_y2,constant_width,control,0,0,0,1,0,0,1.0,0.15016022522391403,0.15016022522391403,0.0,0.15016022522391403,0.0,0.1501602252237229,1.911248936892207e-13,9.511835763476029e-13,0.15016022522391412,0.15016022522391403,8.326672684688674e-17,32770,32773,65538,65541,2048,2.469001197935583e-09,True
lateral_x10_y5,isotropic,control,0,0,0,1,0,0,1.0,0.011013349698110228,0.011013349698110231,3.469446951953614e-18,0.011013349698110228,0.0,0.011013349698110228,0.0,0.0,0.011013349698110228,0.011013349698110228,0.0,32768,32769,65536,65537,512,2.9091312692131055e-15,True
lateral_x10_y5,expanding,control,0,0,0,1,0,0,1.0,0.006801862045462981,0.006801862045462981,0.0,0.006801862045462981,0.0,0.006801862045465341,2.360091289066446e-15,4.115631446754975e-15,0.0068018620454629785,0.006801862045462978,8.673617379884035e-19,32770,32773,65538,65541,512,6.804074611892197e-09,True
lateral_x10_y5,constant_width,control,0,0,0,1,0,0,1.0,0.0009929264426254219,0.0009929264426254219,0.0,0.0009929264426254219,0.0,0.0009929264426265713,1.1494711432691318e-15,2.0153149982160556e-15,0.0009929264426254357,0.0009929264426254227,1.3010426069826053e-17,32770,32773,65538,65541,512,3.153844285990609e-09,True
lateral_x15_y0,isotropic,control,0,0,0,1,0,0,1.0,0.2491062951949334,0.24910629519493344,2.7755575615628914e-17,0.2491062951949334,0.0,0.24910629519493344,2.7755575615628914e-17,0.0,0.24910629519493344,0.24910629519493344,0.0,32768,32769,65536,65537,512,2.8863661460931667e-11,True
