fixture,candidate,switch_ordinal,location,endpoint,owners_before,owners_at,owners_after,multiway,envelope_value,minimum_grid_distance_32768,minimum_grid_distance_65536,slope_probe_step,left_slope,right_slope,slope_change,continuous
equal_minimum_three,isotropic,1,0.375,False,1,2,1,False,0.27768997095378994,0.0,0.0,1e-06,-3.471132446697389,3.471132446697389,6.942264893394778,True
equal_minimum_three,isotropic,2,0.625,False,1,2,1,False,0.27768997095378994,0.0,0.0,1e-06,-3.4711324471414784,3.4711324471414784,6.942264894282957,True
equal_minimum_three,expanding,1,0.5491490079098839,False,1,2,1,False,0.358706981828441,1.4810449491142741e-05,4.483395713572591e-07,1e-06,-0.493928206501959,16.968042498621827,17.461970705123786,True
equal_minimum_three,expanding,2,0.8058900878672738,False,1,2,1,False,0.5715936891099713,1.2402320398785527e-05,2.856468663714473e-06,1e-06,-0.05357724897070426,9.81390972731866,9.867486976289364,True
equal_minimum_three,constant_width,1,0.5362242296928691,False,1,2,1,False,0.1376542979390107,1.3554150590788794e-07,1.3554150590788794e-07,1e-06,-1.0181210209347924,14.400991496216209,15.419112517151001,True
equal_minimum_three,constant_width,2,0.7892286732084357,False,1,2,1,False,0.3018425349530609,1.3585317810704822e-05,1.6734712517951777e-06,1e-06,-0.9162422847652785,16.83140194957966,17.74764423434494,True
star_edge_1,isotropic,1,0.5428571428571427,False,1,2,1,False,0.0003450094412000178,1.0463169642704884e-05,4.795619419795116e-06,1e-06,-0.014786414195486208,0.015402529433470018,0.030188943628956227,True
star_edge_1,expanding,1,0.9092072807785407,False,1,2,1,False,0.10970766428810977,2.924299584261547e-06,2.924299584261547e-06,1e-06,-0.13791448490174663,21.935910573686602,22.073825058588348,True
star_edge_1,constant_width,1,0.9001633314552803,False,1,2,1,False,3.991831602339997e-05,1.3670497844731067e-05,1.5882912177689334e-06,1e-06,-0.0008983341179090573,0.4896938282710495,0.4905921623889586,True
star_edge_2,isotropic,1,0.5846153846153846,False,1,3,2,True,9.569279308308921e-06,9.859525240352163e-06,5.399263822147837e-06,1e-06,-0.0005750934141472404,0.00020242845573711216,0.0007775218698843526,True
star_edge_3,isotropic,1,0.5428571428571427,False,1,2,1,False,0.0003450094412000178,1.0463169642704884e-05,4.795619419795116e-06,1e-06,-0.014786414195486208,0.015402529433470018,0.030188943628956227,True
star_edge_3,expanding,1,0.9092072807785407,False,1,2,1,False,0.10970766428810977,2.924299584261547e-06,2.924299584261547e-06,1e-06,-0.13791448490174663,21.935910573686602,22.073825058588348,True
star_edge_3,constant_width,1,0.9001633314552803,False,1,2,1,False,3.991831602339997e-05,1.3670497844731067e-05,1.5882912177689334e-06,1e-06,-0.0008983341179090573,0.4896938282710495,0.4905921623889586,True
star_edge_4,isotropic,1,0.14285714285714282,False,1,2,1,False,0.00535571086103032,4.359654017821457e-06,4.359654017821457e-06,1e-06,-0.0908564962206343,0.0965948582735271,0.1874513544941614,True
