historical_status,candidate,switch_count,case_count,available_count,maximum_piecewise_direct_difference,maximum_split_difference,maximum_historical_direct_change
unresolved,expanding,1,2,2,2.3414234440188864e-10,1.3877787807814457e-16,2.444626001629757e-09
unresolved,expanding,2,1,1,7.361096177049831e-10,1.1102230246251565e-16,1.5708294109906262e-09
unresolved,constant_width,2,1,1,4.009197973608991e-10,2.7755575615628914e-16,1.4374718082521554e-09
control,isotropic,0,31,31,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16
control,isotropic,1,4,4,2.37521113888306e-12,2.7755575615628914e-17,1.6626200416425263e-11
control,isotropic,2,1,1,5.551115123125783e-17,0.0,0.0
control,expanding,0,33,33,5.454525719983394e-13,3.3306690738754696e-16,6.373901406675486e-12
control,constant_width,0,33,33,5.454525719983394e-13,1.3877787807814457e-16,6.373901406675486e-12
control,constant_width,1,2,2,1.135333493884616e-11,2.220446049250313e-16,2.139879939910827e-11
