fixture,candidate,historical_status,switch_count,interior_switch_count,endpoint_switch_count,maximizing_defender_count,tie_interval_count,multiway_switch_count,minimum_switch_spacing,piecewise_reference,piecewise_repeat,piecewise_repeat_difference,unsplit_adaptive,unsplit_difference,direct_simpson_65536,direct_difference,historical_direct_32768_65536_difference,split_simpson_32768,split_simpson_65536,split_simpson_difference,split_32768_intervals,split_32768_evaluations,split_65536_intervals,split_65536_evaluations,controlled_intervals,controlled_reference_error,available
equal_minimum_three,expanding,unresolved,2,2,0,3,0,0,0.19410991213272621,0.37006331847771207,0.37006331847771207,0.0,0.3700633184777155,3.4416913763379853e-15,0.37006331774160245,7.361096177049831e-10,1.5708294109906262e-09,0.3700633184777122,0.37006331847771207,1.1102230246251565e-16,32780,32789,65546,65555,8192,8.750311364380536e-09,True
equal_minimum_three,constant_width,unresolved,2,2,0,3,0,0,0.2107713267915643,0.2710505198910037,0.2710505198910037,0.0,0.2710505198910063,2.609024107869118e-15,0.2710505194900839,4.009197973608991e-10,1.4374718082521554e-09,0.271050519891004,0.2710505198910037,2.7755575615628914e-16,32780,32789,65546,65555,8192,4.7454027374271845e-09,True
star_edge_1,expanding,unresolved,1,1,0,2,0,0,0.09079271922145926,0.20875990789799737,0.20875990789799737,0.0,0.20875990789799778,4.163336342344337e-16,0.2087599081321397,2.3414234440188864e-10,2.444626001629757e-09,0.20875990789799756,0.20875990789799742,1.3877787807814457e-16,32772,32778,65540,65546,4096,4.1576548232002963e-08,True
star_edge_3,expanding,unresolved,1,1,0,2,0,0,0.09079271922145926,0.20875990789799737,0.20875990789799737,0.0,0.20875990789799778,4.163336342344337e-16,0.2087599081321397,2.3414234440188864e-10,2.444626001629757e-09,0.20875990789799756,0.20875990789799742,1.3877787807814457e-16,32772,32778,65540,65546,4096,4.1576548232002963e-08,True
