fixture,candidate,component,local,ci,absolute_difference,relative_difference,ulp_distance,reference,local_reference_error,ci_reference_error,accepted_intervals,convergence_delta,structural_metadata_equal
equal_minimum_three,isotropic,union,0.4268168846242686,0.42681688462426853,5.551115123125783e-17,1.3005847057837198e-16,1,0.4268168846593185,3.5049907420869886e-11,3.504996293202112e-11,512,1.8955264025066754e-09,True
star_edge_4,constant_width,individual_4,0.2243752034242107,0.22437520342421066,2.7755575615628914e-17,1.237016176121448e-16,1,0.22437517451824526,2.890596542681756e-08,2.8905965399061984e-08,1024,7.990998721063569e-08,True
star_edge_4,constant_width,maximum,0.2243752034242107,0.22437520342421066,2.7755575615628914e-17,1.237016176121448e-16,1,0.22437517451824526,2.890596542681756e-08,2.8905965399061984e-08,1024,7.990998721063569e-08,True
star_edge_4,constant_width,union,0.2243752034242107,0.22437520342421066,2.7755575615628914e-17,1.237016176121448e-16,1,0.22437517451824526,2.890596542681756e-08,2.8905965399061984e-08,1024,7.990998721063569e-08,True
