feature,bin,match_alias,states,represented_matches,m1_mean_rank_change,m2_mean_rank_change,m1_improved,m1_worsened,m1_tied,m2_improved,m2_worsened,m2_tied
attenuation,bin_2,development_03,194,1,-0.5051546391752576,-0.04123711340206185,79,42,73,14,7,173
attenuation,bin_2,development_04,239,1,-0.556485355648536,-0.050209205020920536,98,55,86,16,5,218
attenuation,bin_2,development_05,195,1,-0.020512820512820516,-0.15384615384615383,58,60,77,26,4,165
attenuation,bin_2,development_06,137,1,-0.4233576642335767,-0.11678832116788325,51,32,54,16,2,119
attenuation,bin_2,development_07,168,1,-0.3452380952380953,-0.1011904761904762,63,39,66,18,6,144
attenuation,bin_2,development_08,183,1,-0.24043715846994537,-0.06557377049180328,68,48,67,14,5,164
attenuation,bin_2,development_09,192,1,-0.35416666666666663,-0.03645833333333333,64,52,76,12,6,174
attenuation,bin_2,match_macro,1755,9,-0.34353646343000094,-0.07974958944116152,643,442,670,161,49,1545
attenuation,bin_3,development_01,149,1,-0.46308724832214776,-0.03355704697986578,56,35,58,12,8,129
attenuation,bin_3,development_02,158,1,-0.4430379746835442,-0.050632911392405056,66,44,48,16,11,131
attenuation,bin_3,development_03,146,1,-0.4452054794520548,-0.07534246575342465,60,33,53,17,10,119
attenuation,bin_3,development_04,147,1,-0.4353741496598639,-0.047619047619047616,61,36,50,14,11,122
attenuation,bin_3,development_05,117,1,-0.14529914529914537,-0.008547008547008551,40,38,39,7,9,101
attenuation,bin_3,development_06,145,1,-0.38620689655172413,-0.006896551724137931,52,36,57,10,10,125
attenuation,bin_3,development_07,128,1,-0.515625,-0.015625,56,29,43,10,9,109
attenuation,bin_3,development_08,130,1,-0.38461538461538464,-0.007692307692307693,59,32,39,9,8,113
attenuation,bin_3,development_09,163,1,-0.5276073619631902,-1.734723475976807e-18,65,37,61,14,15,134
attenuation,bin_3,match_macro,1283,9,-0.4162287378385616,-0.027323593300910807,515,320,448,109,91,1083
attenuation,bin_4,development_01,95,1,-0.3157894736842103,0.294736842105263,34,26,35,1,25,69
attenuation,bin_4,development_02,110,1,-0.13636363636363638,0.27272727272727276,33,32,45,3,28,79
attenuation,bin_4,development_03,127,1,-0.09448818897637795,0.23622047244094493,35,41,51,5,26,96
attenuation,bin_4,development_04,98,1,-0.47959183673469385,0.2755102040816327,44,21,33,2,24,72
attenuation,bin_4,development_05,85,1,0.2470588235294118,0.3058823529411765,22,30,33,2,24,59
attenuation,bin_4,development_06,136,1,0.07352941176470588,0.2720588235294118,43,47,46,5,33,98
attenuation,bin_4,development_07,118,1,-0.3813559322033898,0.3728813559322033,46,29,43,1,38,79
attenuation,bin_4,development_08,83,1,-0.24096385542168672,0.22891566265060243,36,23,24,2,20,61
attenuation,bin_4,development_09,117,1,-0.28205128205128216,0.2564102564102565,45,35,37,5,31,81
attenuation,bin_4,match_macro,969,9,-0.17889066334901774,0.2794825825354182,338,284,347,26,249,694
distance,bin_1,development_01,438,1,0.07077625570776257,-0.04337899543378996,114,135,189,32,14,392
distance,bin_1,development_02,440,1,0.07954545454545454,-0.029545454545454545,121,127,192,31,18,391
distance,bin_1,development_03,460,1,-0.028260869565217377,-0.03478260869565217,124,121,215,31,18,411
distance,bin_1,development_04,490,1,0.0489795918367347,0.0163265306122449,129,129,232,18,29,443
distance,bin_1,development_05,400,1,0.24250000000000005,-0.02500000000000001,75,121,204,24,17,359
distance,bin_1,development_06,335,1,6.93889390390723e-18,-0.014925373134328363,88,93,154,25,20,290
distance,bin_1,development_07,354,1,-0.06214689265536723,-0.0028248587570621486,115,93,146,24,22,308
distance,bin_1,development_08,349,1,-0.008595988538681954,0.0028653295128939827,113,92,144,18,19,312
distance,bin_1,development_09,406,1,-0.04433497536945813,0.004926108374384239,110,102,194,23,23,360
distance,bin_1,match_macro,3672,9,0.033162508440136344,-0.014037702451862673,989,1013,1670,226,180,3266
distance,bin_2,development_01,291,1,-1.065292096219931,-0.05154639175257731,179,39,73,29,13,249
distance,bin_2,development_02,227,1,-0.8766519823788548,-0.030837004405286347,132,41,54,21,16,190
distance,bin_2,development_03,297,1,-0.9494949494949496,-0.026936026936026942,176,45,76,25,15,257
distance,bin_2,development_04,272,1,-1.1176470588235294,-0.029411764705882353,170,35,67,26,17,229
distance,bin_2,development_05,313,1,-0.817891373801917,0.0,188,55,70,16,17,280
distance,bin_2,development_06,184,1,-0.8152173913043481,-0.032608695652173926,102,36,46,16,8,160
distance,bin_2,development_07,258,1,-0.875968992248062,-0.003875968992248062,153,42,63,23,21,214
distance,bin_2,development_08,250,1,-1.148,0.007999999999999998,169,33,48,13,16,221
distance,bin_2,development_09,200,1,-1.235,-0.015000000000000003,125,35,40,16,14,170
distance,bin_2,match_macro,2292,9,-0.9890182049190658,-0.02024620582713277,1394,361,537,185,137,1970
distance,bin_3,development_01,122,1,-1.7213114754098366,0.03278688524590164,86,11,25,14,17,91
distance,bin_3,development_02,96,1,-1.53125,0.04166666666666667,62,11,23,11,14,71
distance,bin_3,development_03,145,1,-1.7034482758620688,0.006896551724137931,96,23,26,14,14,117
distance,bin_3,development_04,80,1,-1.9500000000000004,-0.13750000000000004,56,7,17,13,4,63
distance,bin_3,development_05,96,1,-1.3125,-0.07291666666666667,56,19,21,11,7,78
distance,bin_3,development_06,76,1,-1.381578947368421,0.07894736842105263,47,14,15,12,16,48
distance,bin_3,development_07,99,1,-1.181818181818182,0.04040404040404041,57,17,25,8,14,77
distance,bin_3,development_08,87,1,-1.1149425287356327,-0.02298850574712644,56,13,18,6,4,77
distance,bin_3,development_09,83,1,-1.5903614457831328,0.12048192771084337,54,13,16,6,16,61
distance,bin_3,match_macro,884,9,-1.4985789838863635,0.009753140862094395,570,128,186,95,106,683
distance,bin_4,development_01,34,1,-1.5882352941176467,-0.08823529411764705,23,4,7,6,4,24
distance,bin_4,development_02,38,1,-1.368421052631579,0.13157894736842107,21,5,12,3,7,28
distance,bin_4,development_03,50,1,-1.04,-0.08,26,12,12,6,3,41
distance,bin_4,development_04,35,1,-2.0,-0.2,22,4,9,5,0,30
distance,bin_4,development_05,52,1,-0.9423076923076923,-0.09615384615384613,27,12,13,9,7,36
distance,bin_4,development_06,34,1,-0.8235294117647058,0.0,17,5,12,2,2,30
distance,bin_4,development_07,53,1,-1.2641509433962266,0.0,30,6,17,6,6,41
distance,bin_4,development_08,48,1,-0.5833333333333334,-0.08333333333333334,25,9,14,7,4,37
distance,bin_4,development_09,35,1,-0.9142857142857141,0.02857142857142857,18,7,10,2,3,30
distance,bin_4,match_macro,379,9,-1.1693626046485444,-0.043063566407219665,209,64,106,46,36,297
longitudinal,bin_1,development_01,100,1,-0.8400000000000002,-0.14,53,17,30,18,6,76
longitudinal,bin_1,development_02,90,1,-0.2222222222222222,-0.13333333333333333,37,27,26,13,5,72
longitudinal,bin_1,development_03,129,1,-1.1007751937984496,-0.11627906976744186,72,16,41,15,2,112
longitudinal,bin_1,development_04,88,1,-0.4545454545454545,-0.1818181818181818,39,17,32,14,2,72
longitudinal,bin_1,development_05,136,1,-0.5441176470588235,-0.051470588235294115,64,33,39,14,9,113
longitudinal,bin_1,development_06,67,1,-0.7014925373134326,-0.208955223880597,33,13,21,14,2,51
