match_alias,states,segment_d2_d1,segment_d3_d1,segment_top1_pair_jaccard,segment_top2_pair_jaccard,segment_top3_pair_jaccard
development_01,885,2.345058969574067,5.029083458461155,0.3919397363465159,0.42418079096045186,0.47991462649089756
development_02,801,2.4249704800606877,5.074758655930835,0.42582882507976155,0.45105654968326636,0.5057067554445832
development_03,952,2.3386783742508177,4.981119570437042,0.3756769374416433,0.4182306255835667,0.476750700280112
development_04,877,2.2522981384759326,4.71070910714098,0.36173824908146457,0.4031082393682166,0.4691169390599265
development_05,861,2.473671494360443,5.229095557150646,0.3767711962833913,0.40634060308857045,0.4679726416311781
development_06,629,2.1428048504981385,4.477034428474446,0.3925808161102279,0.4262262262262262,0.486864511570394
development_07,764,2.2297026960390602,4.923526203599807,0.37329842931937185,0.415251114989335,0.4726527050610821
development_08,734,2.231335000291052,4.869684806236873,0.38819255222524984,0.4169139166414372,0.4657614290039359
development_09,724,2.250327242095862,4.766004409803267,0.4149171270718232,0.44067935338653563,0.49523941068139965
match_macro,7227,2.2987608050717845,4.895668466359449,0.38899376321771656,0.4224430466586228,0.47999774658038985
