match_alias,states,any_receiver_multi_edge,any_segment_multi_edge,max_receiver_nearest_edges,max_segment_nearest_edges,max_segment_top1_edge_share,max_segment_top2_edge_share,max_segment_top3_edge_share,max_segment_top1_m1_weighted,max_segment_top2_m1_weighted,max_segment_top3_m1_weighted
development_01,885,0.9988700564971751,1.0,2.8870056497175143,5.867796610169491,0.586779661016949,0.8668926553672315,0.9675706214689265,0.7419307837398407,0.9480839024589813,0.9927383333377108
development_02,801,1.0,1.0,3.023720349563047,6.141073657927592,0.6141073657927592,0.8799001248439452,0.9686641697877654,0.7546195371890634,0.9521536475088463,0.991931929081566
development_03,952,1.0,1.0,2.85609243697479,5.709033613445378,0.5709033613445378,0.854096638655462,0.9624999999999999,0.7373704187089132,0.9442658485414054,0.9891643008502458
development_04,877,0.9988597491448119,1.0,2.7457240592930443,5.57126567844926,0.5571265678449259,0.8521094640820981,0.9599771949828961,0.7220593436690519,0.9341539786634716,0.9866676973751677
development_05,861,1.0,1.0,2.6771196283391405,5.745644599303135,0.5745644599303135,0.8493612078977931,0.9588850174216028,0.7371002619575157,0.9384596110907203,0.9893122034539502
development_06,629,1.0,1.0,2.925278219395867,5.812400635930048,0.5812400635930047,0.867408585055644,0.9640699523052465,0.7257009107066312,0.9387002578240163,0.9894634394644841
development_07,764,1.0,1.0,2.748691099476441,5.723821989528797,0.5723821989528798,0.8498691099476442,0.9607329842931939,0.73224627397844,0.9400094547794757,0.9904185781347548
development_08,734,0.9959128065395094,1.0,2.6307901907356945,5.836512261580382,0.5836512261580382,0.8581743869209812,0.9668937329700273,0.7362942894312124,0.9444210554126826,0.9914540009766158
development_09,724,0.9958563535911602,1.0,2.947513812154696,6.037292817679558,0.6037292817679558,0.8772099447513813,0.9700276243093922,0.7497391623159897,0.9464928116934694,0.9922531056377895
match_macro,7227,0.998833218419184,1.0,2.826881716183359,5.82720465155707,0.5827204651557071,0.861669124169131,0.9643690330598944,0.7374512201885175,0.9429711742192298,0.9903781764791426
