match_alias,states,nearest_intersects,nearest_equal,same_unique_nearest,receiver_unique_nearest_edges,segment_unique_nearest_edges
development_01,885,0.30135593220338974,0.30135593220338974,0.30135593220338974,1.0,1.0
development_02,801,0.28164794007490646,0.28164794007490646,0.28164794007490646,1.0,1.0
development_03,952,0.29726890756302515,0.29726890756302515,0.29726890756302515,1.0,1.0
development_04,877,0.3052451539338654,0.3051311288483467,0.3051311288483467,0.9998859749144813,1.0
development_05,861,0.2998838559814169,0.2998838559814169,0.2998838559814169,1.0,1.0
development_06,629,0.2972972972972973,0.2972972972972973,0.2972972972972973,1.0,1.0
development_07,764,0.27918848167539273,0.27918848167539273,0.27918848167539273,1.0,1.0
development_08,734,0.27520435967302453,0.27520435967302453,0.27520435967302453,1.0,1.0
development_09,724,0.29820441988950275,0.29820441988950275,0.29820441988950275,1.0,1.0
match_macro,7227,0.2928107053657579,0.29279803591181136,0.29279803591181136,0.9999873305460534,1.0
