fixture,candidate,component,reference_source,intervals,successive_vector_difference,estimate,reference,absolute_error,passed
lateral_x5_y2,expanding,union,14b,2048,8.179373511829624e-09,0.22779054780651387,0.22779054835975454,5.532406754937824e-10,True
lateral_x5_y2,expanding,maximum,14b,2048,8.179373511829624e-09,0.22779054780651387,0.22779054835975454,5.532406754937824e-10,True
lateral_x5_y2,constant_width,individual_1,14b,2048,8.072164603412091e-09,0.0808052801538935,0.08080528061931036,4.654168578310802e-10,True
lateral_x5_y2,constant_width,union,14b,2048,8.072164603412091e-09,0.0808052801538935,0.08080528061931036,4.654168578310802e-10,True
lateral_x5_y2,constant_width,maximum,14b,2048,8.072164603412091e-09,0.0808052801538935,0.08080528061931036,4.654168578310802e-10,True
lateral_x5_y5,isotropic,individual_1,14b,512,1.9029907857848194e-11,0.010944966755884543,0.010944966757152726,1.2681834749006526e-12,True
lateral_x5_y5,isotropic,union,14b,512,1.9029907857848194e-11,0.010944966755884543,0.010944966757152726,1.2681834749006526e-12,True
lateral_x5_y5,isotropic,maximum,14b,512,1.9029907857848194e-11,0.010944966755884543,0.010944966757152726,1.2681834749006526e-12,True
lateral_x5_y5,expanding,individual_1,14b,512,8.957452019161226e-11,0.00018246146284270435,0.00018246150343912597,4.059642162365651e-11,True
lateral_x5_y5,expanding,union,14b,512,8.957452019161226e-11,0.00018246146284270435,0.00018246150343912597,4.059642162365651e-11,True
lateral_x5_y5,expanding,maximum,14b,512,8.957452019161226e-11,0.00018246146284270435,0.00018246150343912597,4.059642162365651e-11,True
lateral_x5_y5,constant_width,individual_1,14b,512,2.9499975478765794e-10,2.9838335238265077e-05,2.983832874249849e-05,6.4957665880601995e-12,True
lateral_x5_y5,constant_width,union,14b,512,2.9499975478765794e-10,2.9838335238265077e-05,2.983832874249849e-05,6.4957665880601995e-12,True
lateral_x5_y5,constant_width,maximum,14b,512,2.9499975478765794e-10,2.9838335238265077e-05,2.983832874249849e-05,6.4957665880601995e-12,True
lateral_x10_y0,isotropic,individual_1,14b,512,9.908740494779522e-13,0.2506626837572468,0.25066268375731304,6.622480341889059e-14,True
lateral_x10_y0,isotropic,union,14b,512,9.908740494779522e-13,0.2506626837572468,0.25066268375731304,6.622480341889059e-14,True
lateral_x10_y0,isotropic,maximum,14b,512,9.908740494779522e-13,0.2506626837572468,0.25066268375731304,6.622480341889059e-14,True
lateral_x10_y0,expanding,individual_1,14b,2048,5.3133893174184266e-08,0.4749999955432334,0.475,4.456766566907078e-09,True
lateral_x10_y0,expanding,union,14b,2048,5.3133893174184266e-08,0.4749999955432334,0.475,4.456766566907078e-09,True
lateral_x10_y0,expanding,maximum,14b,2048,5.3133893174184266e-08,0.4749999955432334,0.475,4.456766566907078e-09,True
lateral_x10_y0,constant_width,individual_1,14b,2048,5.3133893174184266e-08,0.4749999955432334,0.475,4.456766566907078e-09,True
lateral_x10_y0,constant_width,union,14b,2048,5.3133893174184266e-08,0.4749999955432334,0.475,4.456766566907078e-09,True
lateral_x10_y0,constant_width,maximum,14b,2048,5.3133893174184266e-08,0.4749999955432334,0.475,4.456766566907078e-09,True
lateral_x10_y1,isotropic,individual_1,14b,512,8.744116541947733e-13,0.22120904200931227,0.22120904200937072,5.845324224651449e-14,True
lateral_x10_y1,isotropic,union,14b,512,8.744116541947733e-13,0.22120904200931227,0.22120904200937072,5.845324224651449e-14,True
lateral_x10_y1,isotropic,maximum,14b,512,8.744116541947733e-13,0.22120904200931227,0.22120904200937072,5.845324224651449e-14,True
lateral_x10_y1,expanding,individual_1,14b,2048,1.8573522941878196e-08,0.4101291178147735,0.4101291151321267,2.682646826901447e-09,True
lateral_x10_y1,expanding,union,14b,2048,1.8573522941878196e-08,0.4101291178147735,0.4101291151321267,2.682646826901447e-09,True
lateral_x10_y1,expanding,maximum,14b,2048,1.8573522941878196e-08,0.4101291178147735,0.4101291151321267,2.682646826901447e-09,True
lateral_x10_y1,constant_width,individual_1,14b,2048,1.7421286913066325e-08,0.350354897868058,0.350354895289881,2.5781770052191177e-09,True
lateral_x10_y1,constant_width,union,14b,2048,1.7421286913066325e-08,0.350354897868058,0.350354895289881,2.5781770052191177e-09,True
lateral_x10_y1,constant_width,maximum,14b,2048,1.7421286913066325e-08,0.350354897868058,0.350354895289881,2.5781770052191177e-09,True
lateral_x10_y2,isotropic,individual_1,14b,512,6.009914788052129e-13,0.15203460294462212,0.15203460294466228,4.016231791581504e-14,True
lateral_x10_y2,isotropic,union,14b,512,6.009914788052129e-13,0.15203460294462212,0.15203460294466228,4.016231791581504e-14,True
lateral_x10_y2,isotropic,maximum,14b,512,6.009914788052129e-13,0.15203460294462212,0.15203460294466228,4.016231791581504e-14,True
lateral_x10_y2,expanding,individual_1,14b,2048,5.9192070966940236e-08,0.26121260205758073,0.26121259922828755,2.8292931886220174e-09,True
lateral_x10_y2,expanding,union,14b,2048,5.9192070966940236e-08,0.26121260205758073,0.26121259922828755,2.8292931886220174e-09,True
lateral_x10_y2,expanding,maximum,14b,2048,5.9192070966940236e-08,0.26121260205758073,0.26121259922828755,2.8292931886220174e-09,True
lateral_x10_y2,constant_width,individual_1,14b,2048,5.597086721875755e-08,0.15016022769291523,0.15016022522391403,2.469001197935583e-09,True
lateral_x10_y2,constant_width,union,14b,2048,5.597086721875755e-08,0.15016022769291523,0.15016022522391403,2.469001197935583e-09,True
lateral_x10_y2,constant_width,maximum,14b,2048,5.597086721875755e-08,0.15016022769291523,0.15016022522391403,2.469001197935583e-09,True
lateral_x10_y5,isotropic,individual_1,14b,512,4.353462035311395e-14,0.011013349698107319,0.011013349698110228,2.9091312692131055e-15,True
lateral_x10_y5,isotropic,union,14b,512,4.353462035311395e-14,0.011013349698107319,0.011013349698110228,2.9091312692131055e-15,True
