fixture,candidate,intervals,differing_components,maximum_absolute_difference,accepted_local,accepted_ci
lateral_x5_y2,isotropic,4096,0,0.0,False,False
lateral_x5_y2,isotropic,8192,0,0.0,False,False
lateral_x5_y2,isotropic,16384,0,0.0,False,False
lateral_x5_y2,expanding,256,0,0.0,False,False
lateral_x5_y2,expanding,512,0,0.0,False,False
lateral_x5_y2,expanding,1024,0,0.0,False,False
lateral_x5_y2,expanding,2048,0,0.0,True,True
lateral_x5_y2,expanding,4096,3,2.7755575615628914e-17,False,False
lateral_x5_y2,expanding,8192,0,0.0,False,False
lateral_x5_y2,expanding,16384,0,0.0,False,False
lateral_x5_y2,constant_width,256,0,0.0,False,False
lateral_x5_y2,constant_width,512,0,0.0,False,False
lateral_x5_y2,constant_width,1024,0,0.0,False,False
lateral_x5_y2,constant_width,2048,0,0.0,True,True
lateral_x5_y2,constant_width,4096,0,0.0,False,False
lateral_x5_y2,constant_width,8192,0,0.0,False,False
lateral_x5_y2,constant_width,16384,0,0.0,False,False
lateral_x5_y5,isotropic,256,0,0.0,False,False
lateral_x5_y5,isotropic,512,0,0.0,True,True
lateral_x5_y5,isotropic,1024,0,0.0,False,False
lateral_x5_y5,isotropic,2048,0,0.0,False,False
lateral_x5_y5,isotropic,4096,0,0.0,False,False
lateral_x5_y5,isotropic,8192,0,0.0,False,False
lateral_x5_y5,isotropic,16384,0,0.0,False,False
lateral_x5_y5,expanding,256,0,0.0,False,False
lateral_x5_y5,expanding,512,0,0.0,True,True
lateral_x5_y5,expanding,1024,0,0.0,False,False
lateral_x5_y5,expanding,2048,0,0.0,False,False
lateral_x5_y5,expanding,4096,0,0.0,False,False
lateral_x5_y5,expanding,8192,0,0.0,False,False
lateral_x5_y5,expanding,16384,0,0.0,False,False
lateral_x5_y5,constant_width,256,0,0.0,False,False
lateral_x5_y5,constant_width,512,0,0.0,True,True
lateral_x5_y5,constant_width,1024,0,0.0,False,False
lateral_x5_y5,constant_width,2048,0,0.0,False,False
lateral_x5_y5,constant_width,4096,0,0.0,False,False
lateral_x5_y5,constant_width,8192,0,0.0,False,False
lateral_x5_y5,constant_width,16384,0,0.0,False,False
lateral_x10_y0,isotropic,256,0,0.0,False,False
lateral_x10_y0,isotropic,512,0,0.0,True,True
lateral_x10_y0,isotropic,1024,0,0.0,False,False
lateral_x10_y0,isotropic,2048,0,0.0,False,False
lateral_x10_y0,isotropic,4096,0,0.0,False,False
lateral_x10_y0,isotropic,8192,0,0.0,False,False
lateral_x10_y0,isotropic,16384,0,0.0,False,False
lateral_x10_y0,expanding,256,0,0.0,False,False
lateral_x10_y0,expanding,512,0,0.0,False,False
lateral_x10_y0,expanding,1024,0,0.0,False,False
lateral_x10_y0,expanding,2048,0,0.0,True,True
lateral_x10_y0,expanding,4096,0,0.0,False,False
lateral_x10_y0,expanding,8192,0,0.0,False,False
lateral_x10_y0,expanding,16384,0,0.0,False,False
lateral_x10_y0,constant_width,256,0,0.0,False,False
lateral_x10_y0,constant_width,512,0,0.0,False,False
lateral_x10_y0,constant_width,1024,0,0.0,False,False
lateral_x10_y0,constant_width,2048,0,0.0,True,True
lateral_x10_y0,constant_width,4096,0,0.0,False,False
lateral_x10_y0,constant_width,8192,0,0.0,False,False
lateral_x10_y0,constant_width,16384,0,0.0,False,False
lateral_x10_y1,isotropic,256,0,0.0,False,False
lateral_x10_y1,isotropic,512,0,0.0,True,True
lateral_x10_y1,isotropic,1024,0,0.0,False,False
lateral_x10_y1,isotropic,2048,0,0.0,False,False
lateral_x10_y1,isotropic,4096,0,0.0,False,False
lateral_x10_y1,isotropic,8192,0,0.0,False,False
lateral_x10_y1,isotropic,16384,0,0.0,False,False
lateral_x10_y1,expanding,256,0,0.0,False,False
lateral_x10_y1,expanding,512,0,0.0,False,False
lateral_x10_y1,expanding,1024,0,0.0,False,False
lateral_x10_y1,expanding,2048,0,0.0,True,True
lateral_x10_y1,expanding,4096,0,0.0,False,False
lateral_x10_y1,expanding,8192,0,0.0,False,False
lateral_x10_y1,expanding,16384,0,0.0,False,False
lateral_x10_y1,constant_width,256,0,0.0,False,False
lateral_x10_y1,constant_width,512,3,1.1102230246251565e-16,False,False
lateral_x10_y1,constant_width,1024,0,0.0,False,False
lateral_x10_y1,constant_width,2048,0,0.0,True,True
lateral_x10_y1,constant_width,4096,0,0.0,False,False
lateral_x10_y1,constant_width,8192,0,0.0,False,False
lateral_x10_y1,constant_width,16384,0,0.0,False,False
lateral_x10_y2,isotropic,256,0,0.0,False,False
lateral_x10_y2,isotropic,512,0,0.0,True,True
lateral_x10_y2,isotropic,1024,0,0.0,False,False
lateral_x10_y2,isotropic,2048,0,0.0,False,False
lateral_x10_y2,isotropic,4096,0,0.0,False,False
lateral_x10_y2,isotropic,8192,0,0.0,False,False
lateral_x10_y2,isotropic,16384,0,0.0,False,False
lateral_x10_y2,expanding,256,0,0.0,False,False
lateral_x10_y2,expanding,512,0,0.0,False,False
lateral_x10_y2,expanding,1024,0,0.0,False,False
lateral_x10_y2,expanding,2048,0,0.0,True,True
lateral_x10_y2,expanding,4096,0,0.0,False,False
lateral_x10_y2,expanding,8192,0,0.0,False,False
lateral_x10_y2,expanding,16384,0,0.0,False,False
lateral_x10_y2,constant_width,256,0,0.0,False,False
lateral_x10_y2,constant_width,512,0,0.0,False,False
lateral_x10_y2,constant_width,1024,0,0.0,False,False
lateral_x10_y2,constant_width,2048,0,0.0,True,True
lateral_x10_y2,constant_width,4096,0,0.0,False,False
lateral_x10_y2,constant_width,8192,0,0.0,False,False
lateral_x10_y2,constant_width,16384,3,2.7755575615628914e-17,False,False
lateral_x10_y5,isotropic,256,0,0.0,False,False
lateral_x10_y5,isotropic,512,0,0.0,True,True
lateral_x10_y5,isotropic,1024,0,0.0,False,False
lateral_x10_y5,isotropic,2048,0,0.0,False,False
lateral_x10_y5,isotropic,4096,0,0.0,False,False
lateral_x10_y5,isotropic,8192,0,0.0,False,False
lateral_x10_y5,isotropic,16384,0,0.0,False,False
lateral_x10_y5,expanding,256,0,0.0,False,False
lateral_x10_y5,expanding,512,0,0.0,True,True
lateral_x10_y5,expanding,1024,1,8.673617379884035e-19,False,False
lateral_x10_y5,expanding,2048,0,0.0,False,False
lateral_x10_y5,expanding,4096,0,0.0,False,False
lateral_x10_y5,expanding,8192,0,0.0,False,False
lateral_x10_y5,expanding,16384,0,0.0,False,False
lateral_x10_y5,constant_width,256,0,0.0,False,False
lateral_x10_y5,constant_width,512,0,0.0,True,True
lateral_x10_y5,constant_width,1024,0,0.0,False,False
lateral_x10_y5,constant_width,2048,0,0.0,False,False
lateral_x10_y5,constant_width,4096,0,0.0,False,False
lateral_x10_y5,constant_width,8192,0,0.0,False,False
lateral_x10_y5,constant_width,16384,0,0.0,False,False
lateral_x15_y0,isotropic,256,0,0.0,False,False
lateral_x15_y0,isotropic,512,0,0.0,True,True
lateral_x15_y0,isotropic,1024,0,0.0,False,False
lateral_x15_y0,isotropic,2048,0,0.0,False,False
lateral_x15_y0,isotropic,4096,3,5.551115123125783e-17,False,False
lateral_x15_y0,isotropic,8192,0,0.0,False,False
lateral_x15_y0,isotropic,16384,0,0.0,False,False
lateral_x15_y0,expanding,256,0,0.0,False,False
lateral_x15_y0,expanding,512,0,0.0,False,False
lateral_x15_y0,expanding,1024,0,0.0,False,False
lateral_x15_y0,expanding,2048,0,0.0,True,True
