match_alias,states,m0_top_one_share,m0_top_two_share,m0_entropy,m0_normalized_entropy,m0_effective_option_count,m0_utility_range,m1_top_one_share,m1_top_two_share,m1_entropy,m1_normalized_entropy,m1_effective_option_count,m1_utility_range,change_top_one_share,change_top_two_share,change_entropy,change_normalized_entropy,change_effective_option_count,change_utility_range,change_top_set_changed,change_strict_reversal,change_tie_created,change_tie_removed,change_ordering_changed
development_01,885,0.2752135053428647,0.47234303509188014,1.9593517561938762,0.8509356558224459,7.1728434571548805,3.531197823900759,0.3718043640663797,0.576178962207932,1.740707126458371,0.7559794996305362,5.97544750010585,3.9678566741935324,0.09659085872351494,0.1038359271160518,-0.21864462973550544,-0.09495615619190965,-1.1973959570490318,0.4366588502927735,0.5898305084745762,0.18551161330822344,0.0,0.0,0.1855116133082235
development_02,801,0.27566104378477946,0.4762408163932282,1.9452666486709074,0.8448185713482067,7.075159345229929,3.7981310937173465,0.3626997008083139,0.5689787703834871,1.7417655664843505,0.756439174293245,5.973245217636663,4.277870029123325,0.08703865702353449,0.09273795399025896,-0.2035010821865566,-0.08837939705496166,-1.1019141275932653,0.479738935405979,0.5455680399500625,0.16959356360105426,0.0,0.0,0.16959356360105426
development_03,952,0.2711077655332751,0.46625798675158314,1.9684975590151974,0.8549076275203209,7.2329244859967075,3.543939312832707,0.3818213483758348,0.5874374164530352,1.7145684301047308,0.7446276080400058,5.8566799656380315,4.086291926694108,0.1107135828425597,0.12117942970145207,-0.2539291289104666,-0.11028001948031513,-1.3762445203586753,0.5423526138614015,0.5504201680672269,0.1857609710550887,0.0,0.0,0.1857609710550887
development_04,877,0.269933113175648,0.46848674422437,1.959869561968955,0.8511605360132604,7.173673974366478,3.61972461349993,0.37731600817022515,0.5752433159169982,1.7310444234770934,0.7517830410454974,5.989265245011039,4.169820525846121,0.10738289499457715,0.10675657169262821,-0.22882513849186167,-0.0993774949677629,-1.18440872935544,0.5500959123461906,0.5290763968072976,0.1838084378563284,0.0,0.0,0.18380843785632842
development_05,861,0.2823528702170501,0.48282265667899577,1.9356875560150795,0.8406584242661406,7.005347180399998,3.592173596715046,0.38498557515591153,0.5852721618178972,1.70755720407115,0.7415826712622454,5.810780000742989,4.195329306890151,0.10263270493886145,0.10244950513890144,-0.22813035194392944,-0.09907575300389534,-1.1945671796570088,0.603155710175104,0.5365853658536585,0.1683572073815976,0.0,0.0,0.1683572073815976
development_06,629,0.27031487895204476,0.4669138232506876,1.9599228917421971,0.8511836968395005,7.189537560996911,3.8365760628127408,0.3650732826532246,0.5641316806430987,1.7480627019755026,0.7591739854888494,6.0855067948940516,4.250862034181788,0.09475840370117983,0.09721785739241115,-0.21186018976669427,-0.0920097113506511,-1.1040307661028588,0.4142859713690473,0.5278219395866455,0.17367956191485606,0.0,0.0,0.17367956191485606
development_07,764,0.26725628420283415,0.4626047778954246,1.9710324094799387,0.8560084990896081,7.246076675303997,3.524660392923637,0.36020988844844987,0.5671425936261258,1.7574152825498028,0.7632357596238235,6.071787088411491,4.030361065227317,0.09295360424561573,0.10453781573070119,-0.21361712693013593,-0.09277273946578456,-1.1742895868925065,0.5057006723036797,0.5693717277486912,0.18391506689936013,0.0,0.0,0.18391506689936013
development_08,734,0.2678445380991616,0.46755225823283775,1.9630146454814459,0.85252642842786,7.177279610717375,3.4228608529691495,0.35336074101251774,0.5631017200161432,1.7663312954141468,0.7671079348113865,6.069819037324685,4.003783341300845,0.08551620291335617,0.09554946178330545,-0.19668335006729915,-0.08541849361647359,-1.10746057339269,0.5809224883316942,0.6035422343324252,0.16875567665758404,0.0,0.0,0.16875567665758404
development_09,724,0.27054736285737524,0.4658984626483388,1.9655447886935478,0.8536252556633008,7.2148001697772965,3.701303732465812,0.37008787081744426,0.5721067916511298,1.7378074906722547,0.7547202038090969,5.99098831572679,4.1869281449138445,0.09954050796006901,0.10620832900279095,-0.2277372980212931,-0.09890505185420394,-1.223811854050507,0.48562441244803245,0.5331491712707181,0.17188459177409454,0.0,0.0,0.17188459177409454
match_macro,7227,0.2722479291294481,0.4699022845741495,1.9586875352512378,0.8506471883322937,7.165293606660396,3.6189519424263468,0.3697065310564779,0.5732881569684274,1.7383621690230444,0.7549610975560761,5.980391018387953,4.129900338707892,0.09745860192702982,0.1033858723942779,-0.22032536622819357,-0.09568609077621754,-1.1849025882724424,0.5109483962815446,0.5539295057879223,0.17680741004979855,0.0,0.0,0.17680741004979855
