fixture,candidate,component,expected,actual,expected_bits,actual_bits,expected_signed_zero,actual_signed_zero,absolute_difference,relative_difference,ulp_distance,finite,python_equal,bitwise_equal
lateral_x5_y1,isotropic,individual_1,0.2198355338983805,0.2198355338983805,3fcc23921e4bcea4,3fcc23921e4bcea4,,,0.0,0.0,0,True,True,True
lateral_x5_y1,isotropic,union,0.2198355338983805,0.2198355338983805,3fcc23921e4bcea4,3fcc23921e4bcea4,,,0.0,0.0,0,True,True,True
lateral_x5_y1,isotropic,maximum,0.2198355338983805,0.2198355338983805,3fcc23921e4bcea4,3fcc23921e4bcea4,,,0.0,0.0,0,True,True,True
lateral_x5_y1,expanding,individual_1,0.5424834393963139,0.5424834393963139,3fe15c063ada8541,3fe15c063ada8541,,,0.0,0.0,0,True,True,True
lateral_x5_y1,expanding,union,0.5424834393963139,0.5424834393963139,3fe15c063ada8541,3fe15c063ada8541,,,0.0,0.0,0,True,True,True
lateral_x5_y1,expanding,maximum,0.5424834393963139,0.5424834393963139,3fe15c063ada8541,3fe15c063ada8541,,,0.0,0.0,0,True,True,True
lateral_x5_y1,constant_width,individual_1,0.33600981512031436,0.33600981512031436,3fd5812f4fc4e994,3fd5812f4fc4e994,,,0.0,0.0,0,True,True,True
lateral_x5_y1,constant_width,union,0.33600981512031436,0.33600981512031436,3fd5812f4fc4e994,3fd5812f4fc4e994,,,0.0,0.0,0,True,True,True
lateral_x5_y1,constant_width,maximum,0.33600981512031436,0.33600981512031436,3fd5812f4fc4e994,3fd5812f4fc4e994,,,0.0,0.0,0,True,True,True
lateral_x5_y2,isotropic,individual_1,0.15109060554564627,0.15109060554564627,3fc356efdcc693d9,3fc356efdcc693d9,,,0.0,0.0,0,True,True,True
lateral_x5_y2,isotropic,union,0.15109060554564627,0.15109060554564627,3fc356efdcc693d9,3fc356efdcc693d9,,,0.0,0.0,0,True,True,True
lateral_x5_y2,isotropic,maximum,0.15109060554564627,0.15109060554564627,3fc356efdcc693d9,3fc356efdcc693d9,,,0.0,0.0,0,True,True,True
lateral_x5_y2,expanding,individual_1,0.22779054780651387,0.22779054780651387,3fcd283d9c955d08,3fcd283d9c955d08,,,0.0,0.0,0,True,True,True
lateral_x5_y2,expanding,union,0.22779054780651387,0.22779054780651387,3fcd283d9c955d08,3fcd283d9c955d08,,,0.0,0.0,0,True,True,True
lateral_x5_y2,expanding,maximum,0.22779054780651387,0.22779054780651387,3fcd283d9c955d08,3fcd283d9c955d08,,,0.0,0.0,0,True,True,True
lateral_x5_y2,constant_width,individual_1,0.0808052801538935,0.0808052801538935,3fb4afa7a39ae735,3fb4afa7a39ae735,,,0.0,0.0,0,True,True,True
lateral_x5_y2,constant_width,union,0.0808052801538935,0.0808052801538935,3fb4afa7a39ae735,3fb4afa7a39ae735,,,0.0,0.0,0,True,True,True
lateral_x5_y2,constant_width,maximum,0.0808052801538935,0.0808052801538935,3fb4afa7a39ae735,3fb4afa7a39ae735,,,0.0,0.0,0,True,True,True
lateral_x5_y5,isotropic,individual_1,0.010944966755884543,0.010944966755884543,3f866a50922dbc0c,3f866a50922dbc0c,,,0.0,0.0,0,True,True,True
lateral_x5_y5,isotropic,union,0.010944966755884543,0.010944966755884543,3f866a50922dbc0c,3f866a50922dbc0c,,,0.0,0.0,0,True,True,True
lateral_x5_y5,isotropic,maximum,0.010944966755884543,0.010944966755884543,3f866a50922dbc0c,3f866a50922dbc0c,,,0.0,0.0,0,True,True,True
