fixture,candidate,kind,raw,canonical,canonical_bits
depth_x10_y0,constant_width,onset,0.5,0.5000000000000001,3fe0000000000001
depth_x10_y0,constant_width,onset,0.6,0.6000000000000001,3fe3333333333334
depth_x10_y2,expanding,onset,0.5,0.5000000000000001,3fe0000000000001
depth_x10_y2,expanding,onset,0.6,0.6000000000000001,3fe3333333333334
depth_x10_y2,constant_width,onset,0.5,0.5000000000000001,3fe0000000000001
depth_x10_y2,constant_width,onset,0.6,0.6000000000000001,3fe3333333333334
depth_x20_y0,expanding,onset,0.25,0.25000000000000006,3fd0000000000001
depth_x20_y0,expanding,onset,0.3,0.30000000000000004,3fd3333333333334
depth_x20_y0,constant_width,onset,0.25,0.25000000000000006,3fd0000000000001
depth_x20_y0,constant_width,onset,0.3,0.30000000000000004,3fd3333333333334
depth_x20_y2,expanding,onset,0.25,0.25000000000000006,3fd0000000000001
depth_x20_y2,expanding,onset,0.3,0.30000000000000004,3fd3333333333334
depth_x20_y2,constant_width,onset,0.25,0.25000000000000006,3fd0000000000001
depth_x20_y2,constant_width,onset,0.3,0.30000000000000004,3fd3333333333334
depth_x40_y0,expanding,onset,0.125,0.12500000000000003,3fc0000000000001
depth_x40_y0,expanding,onset,0.15,0.15000000000000002,3fc3333333333334
depth_x40_y0,constant_width,onset,0.125,0.12500000000000003,3fc0000000000001
depth_x40_y0,constant_width,onset,0.15,0.15000000000000002,3fc3333333333334
depth_x40_y2,expanding,onset,0.125,0.12500000000000003,3fc0000000000001
depth_x40_y2,expanding,onset,0.15,0.15000000000000002,3fc3333333333334
depth_x40_y2,constant_width,onset,0.125,0.12500000000000003,3fc0000000000001
depth_x40_y2,constant_width,onset,0.15,0.15000000000000002,3fc3333333333334
equal_minimum_one,expanding,onset,0.7633333333333334,0.7633333333333335,3fe86d3a06d3a06f
equal_minimum_one,expanding,onset,0.8137758198347387,0.8137758198347387,3fea0a73968ee7c2
equal_minimum_one,constant_width,onset,0.7633333333333334,0.7633333333333335,3fe86d3a06d3a06f
equal_minimum_one,constant_width,onset,0.8137758198347387,0.8137758198347387,3fea0a73968ee7c2
equal_minimum_three,isotropic,switch,0.375,0.37500000000000006,3fd8000000000001
equal_minimum_three,isotropic,switch,0.625,0.6250000000000001,3fe4000000000001
equal_minimum_three,expanding,onset,0.29,0.29,3fd28f5c28f5c28f
equal_minimum_three,expanding,onset,0.343851648071345,0.34385164807134505,3fd601aa57c918a2
equal_minimum_three,expanding,onset,0.5199999999999999,0.52,3fe0a3d70a3d70a4
equal_minimum_three,expanding,onset,0.5709901951359277,0.5709901951359279,3fe2458d3ace4147
equal_minimum_three,expanding,onset,0.7633333333333334,0.7633333333333335,3fe86d3a06d3a06f
equal_minimum_three,expanding,onset,0.8137758198347387,0.8137758198347387,3fea0a73968ee7c2
equal_minimum_three,expanding,switch,0.5491490079098839,0.5491490079098839,3fe192a0f0b3524d
equal_minimum_three,expanding,switch,0.8058900878672738,0.8058900878672742,3fe9c9da0271efb1
equal_minimum_three,constant_width,onset,0.29,0.29,3fd28f5c28f5c28f
equal_minimum_three,constant_width,onset,0.343851648071345,0.34385164807134505,3fd601aa57c918a2
equal_minimum_three,constant_width,onset,0.5199999999999999,0.52,3fe0a3d70a3d70a4
equal_minimum_three,constant_width,onset,0.5709901951359277,0.5709901951359279,3fe2458d3ace4147
equal_minimum_three,constant_width,onset,0.7633333333333334,0.7633333333333335,3fe86d3a06d3a06f
equal_minimum_three,constant_width,onset,0.8137758198347387,0.8137758198347387,3fea0a73968ee7c2
equal_minimum_three,constant_width,switch,0.5362242296928691,0.5362242296928693,3fe128bfb73b513b
equal_minimum_three,constant_width,switch,0.7892286732084357,0.7892286732084358,3fe9415c7d8fdccd
star_edge_1,isotropic,switch,0.5428571428571427,0.5428571428571429,3fe15f15f15f15f2
star_edge_1,expanding,onset,0.25,0.25000000000000006,3fd0000000000001
star_edge_1,expanding,onset,0.3,0.30000000000000004,3fd3333333333334
star_edge_1,expanding,onset,0.9000000000000001,0.9000000000000002,3feccccccccccccf
star_edge_1,expanding,onset,0.9447213595499959,0.944721359549996,3fee3b2849e3324d
star_edge_1,expanding,switch,0.9092072807785407,0.9092072807785408,3fed1839de075355
star_edge_1,constant_width,onset,0.25,0.25000000000000006,3fd0000000000001
star_edge_1,constant_width,onset,0.3,0.30000000000000004,3fd3333333333334
star_edge_1,constant_width,onset,0.9000000000000001,0.9000000000000002,3feccccccccccccf
star_edge_1,constant_width,onset,0.9447213595499959,0.944721359549996,3fee3b2849e3324d
star_edge_1,constant_width,switch,0.9001633314552803,0.9001633314552793,3fecce2354b51528
star_edge_2,isotropic,switch,0.5846153846153846,0.5846153846153846,3fe2b52b52b52b53
