candidate,components,evidence_sha256,fixture,permutations,production_preserved,reason,status,structure_exact,verification_preserved
expanding,3,c1cefa284e4732764394db1a59692ceba191a0511dbb780dfec5305ddd95bdd5,lateral_x15_y2,1,True,accepted,passed,True,True
constant_width,3,f503e1d5c94a6512608b7704022b5e5a817178a2f893ed06fb1ef7771c2d233b,lateral_x15_y2,1,True,accepted,passed,True,True
isotropic,3,b8e9ebedb01e65ca79ae7f79f47042f46624ed2a4ba3b9622159bff5d3d8e4a7,lateral_x15_y5,1,True,accepted,passed,True,True
expanding,3,854f432f14762bdef813e6ecad3f44a8dad5adf096b17d8cacef2912d40c4155,lateral_x15_y5,1,True,accepted,passed,True,True
constant_width,3,fd011a087b84aa216b053baecc51faa9998eea1f49dfac0390467ed48472ef55,lateral_x15_y5,1,True,accepted,passed,True,True
isotropic,3,b924ff8c4cd9bf141ede69cbabeb90bdb437713b43f444cc3207e500a82fd0af,depth_x4_y0,1,True,accepted,passed,True,True
expanding,3,3ebae7d9870f762cfef19d6ff3f04b92382bde4d6ec7feb9c90e4dfaf5ca7ac2,depth_x4_y0,1,True,accepted,passed,True,True
constant_width,3,2be3b49d065ea2197f075ef2dffc7142ae3eacd842634fdf0ac6dded1e56110e,depth_x4_y0,1,True,accepted,passed,True,True
isotropic,3,1d23a87a9c327cc579dcb3a66f7fcee41bf32c4ea7d4d35fbc5a394d85f9f9a2,depth_x4_y2,1,True,accepted,passed,True,True
expanding,3,7c8e89d1d6edd44c115cb95a8da44f924bea262726227d2934ab7da387a233fe,depth_x4_y2,1,True,accepted,passed,True,True
constant_width,3,bda684c2c187fe8f99ccd9ed58d7682cb399ccdfade4c59aac494f52a678679c,depth_x4_y2,1,True,accepted,passed,True,True
isotropic,3,6ed84a9a70857fc5cf19abdc4796a46a64fba1031397755e210aa93bce964bc6,depth_x5_y0,1,True,accepted,passed,True,True
expanding,3,c0497963848781a0418c5f98bdafd1d1c966d1f380ca98e86fa7028ea7f3b1b3,depth_x5_y0,1,True,accepted,passed,True,True
constant_width,3,6e80197153c45cd88392edf28890120f676d20b15e9a34bf80132537510520bd,depth_x5_y0,1,True,accepted,passed,True,True
isotropic,3,3cc5ed5466cd993bf41dfe586ff0f640d9eedaa785806623603dba22ac2e5b11,depth_x5_y2,1,True,accepted,passed,True,True
expanding,3,58fd1136d1ae57eb52e69cf88271dd72c7b624b7cacb1a7ef7f11e89874b0ae2,depth_x5_y2,1,True,accepted,passed,True,True
constant_width,3,0f058dc5c58b3b6185a300ab1fa8c58abc6f9de02734621441f938b5b11eb2ca,depth_x5_y2,1,True,accepted,passed,True,True
isotropic,3,a5a26b65bbf95d3b2b82ecd9bc845cb1b282fd28e6b5c776b5a730bb6e96afe5,depth_x5.5_y0,1,True,accepted,passed,True,True
expanding,3,484c28d9d931ffbc91d4cf3a7f5b4e4acb4d6a3f24d0780ed0c81118159b88be,depth_x5.5_y0,1,True,accepted,passed,True,True
constant_width,3,fad5a9497148bd67316f7fb0091ef5aaac5b5b9620c0784e440d8a1b95fa08fc,depth_x5.5_y0,1,True,accepted,passed,True,True
