match_alias,evaluation_eligible,heldout_fit_eligible,target_outside_zero_credit,mrr,hit_at_1,hit_at_3,tied_target_blocks
development_01,885,885,0,0.4911138014527845,0.2655367231638418,0.6237288135593221,0
development_02,801,801,0,0.4958712323880863,0.264669163545568,0.6579275905118602,0
development_03,952,952,0,0.47538348672802455,0.2426470588235294,0.6197478991596639,0
development_04,877,877,0,0.5023008633327903,0.27366020524515394,0.6681870011402509,0
development_05,861,861,0,0.5057952178161237,0.2857142857142857,0.6445993031358885,0
development_06,629,629,0,0.4705516440810558,0.24006359300476948,0.5945945945945946,0
development_07,764,764,0,0.4467267098811602,0.2094240837696335,0.5863874345549738,0
development_08,734,734,0,0.4458971281518966,0.2016348773841962,0.5967302452316077,0
development_09,724,724,0,0.5022631105849338,0.2886740331491713,0.6339779005524862,0
