fixture,candidate,status,components,permutations,structure_exact,production_preserved,verification_preserved,reason,evidence_sha256
lateral_x15_y2,expanding,passed,3,1,true,true,true,accepted,1395fefc633f15133e55039f504c1afb6ccbd59196ec974a3ea63d934ea9583d
lateral_x15_y2,constant_width,passed,3,1,true,true,true,accepted,55d48526e953d9109dc9932a86fe70d4eb3b5d1b630e50d4f959ba08060ba13d
lateral_x15_y5,isotropic,passed,3,1,true,true,true,accepted,4100dc98ff7eb3ea42942ffc3bf62aeead737e2086d880c83319d06b0dd2848b
lateral_x15_y5,expanding,passed,3,1,true,true,true,accepted,e36c18134e4f52ac4c7a79099e27c7d32cd519b75123eebf5cf88a94c2a5c72c
lateral_x15_y5,constant_width,passed,3,1,true,true,true,accepted,5aa457dabd839814d749000ce0c05d48eaebb5e7dd5472f47b8ec4fd0057350a
depth_x4_y0,isotropic,passed,3,1,true,true,true,accepted,cf4df3222f6178c6ff1c2c1b5dd34fb504ec4961c8ebfcdfdb75e4a92de00531
depth_x4_y0,expanding,passed,3,1,true,true,true,accepted,60939d454fc49ff232523364af47df778a367d5218d2a5528874d0c19d1c640a
depth_x4_y0,constant_width,passed,3,1,true,true,true,accepted,3951dd7b126c005d5486821a25f6e76f6b3939c15c9c2ea1484dd1bc2396e21c
depth_x4_y2,isotropic,passed,3,1,true,true,true,accepted,ea4c84bee7ac59550b021cfd2c0b5fb6e82d03516588ad99c3fa7123b80fb6e1
depth_x4_y2,expanding,passed,3,1,true,true,true,accepted,d2c6972c1423f0158c1cdb9aaefbd464568b6d0d50fc4f44f6919ebcc2d305f5
depth_x4_y2,constant_width,passed,3,1,true,true,true,accepted,06cc84b30dac7f7c42537193eba64c1e0774f523f3bb344962894f7237138483
depth_x5_y0,isotropic,passed,3,1,true,true,true,accepted,551d5624918eeb6606c19b90db9391a74e865b8f3a21d9840d2f250bfe81b812
depth_x5_y0,expanding,passed,3,1,true,true,true,accepted,e0a0f42f57e8758059f1b4845f0f518555c7737ab54f35449d6ad360698ff390
depth_x5_y0,constant_width,passed,3,1,true,true,true,accepted,6ecf16c90c2ec2542cea3988b3fce4b785748a79be44a8e26872b580eaf6e16f
depth_x5_y2,isotropic,passed,3,1,true,true,true,accepted,0a92d0c75e05c45315547750f86dc4e60e82c2ee8b31ebee2988b9b22632f92d
depth_x5_y2,expanding,passed,3,1,true,true,true,accepted,252c0d9c831bba7abfae06f64856475ec5c30306c5080ce4e92183b81a794159
depth_x5_y2,constant_width,passed,3,1,true,true,true,accepted,833bbf9233cce9a0b1bc37a843e12cf8681e5502307071c30ba99a2a0c3bfe5e
depth_x5.5_y0,isotropic,passed,3,1,true,true,true,accepted,64605da1883715d384b4d267fdf081ae169aa21758f9623369b6af263eb82e1a
depth_x5.5_y0,expanding,passed,3,1,true,true,true,accepted,19f047007c8a6df5b4794a939bcb311b0df31e49bcd047bcb4696340f7893379
depth_x5.5_y0,constant_width,passed,3,1,true,true,true,accepted,762f23eb0811d52a62e19ac03c1042c4484cbce9bb75004ac9744273cc3a045d
depth_x5.5_y2,isotropic,passed,3,1,true,true,true,accepted,e734bc5d58f6694799c93df5e301c243e36309f1923ba177a423ae83b000f3b5
depth_x5.5_y2,expanding,passed,3,1,true,true,true,accepted,a1926d6427fb0f4045ffad760a0eb0a2f89f6642197bdbcc2bb511f037cc501a
depth_x5.5_y2,constant_width,passed,3,1,true,true,true,accepted,5fc6fa0820f469b2bc9a747610bba9c993b5e339044ce21e94d806ae18bcd974
depth_x6_y0,isotropic,passed,3,1,true,true,true,accepted,68cb4462c339f9402f553d8c516942fe4b9ba21c0191eb0244ade3c6d7a78e2a
depth_x6_y0,expanding,passed,3,1,true,true,true,accepted,6493235580952a123ea9b58bbed61ff75e0a5e31f9c608ba7a7108f1ceb6c0d1
depth_x6_y0,constant_width,passed,3,1,true,true,true,accepted,c9b3d3525fb2363f28998b2546f13b08c98ee1760d1748b0c109b527ace53c6f
depth_x6_y2,isotropic,passed,3,1,true,true,true,accepted,ca310356212ef1f56a0dcb808041d2d526b82ee06da9866df733931e21adfe9e
depth_x6_y2,expanding,passed,3,1,true,true,true,accepted,76acd3e0666d471d74b86c80509404c696f63c98078ee5066dc9f3965a12cc22
depth_x6_y2,constant_width,passed,3,1,true,true,true,accepted,45afd1c900a6cab6ad2e41de6ed0cee17210874b9ea348feedb4c3b9a6888357
