fixture,candidate,intervals,local_maximum_change,ci_maximum_change,local_accepted,ci_available
lateral_x5_y1,constant_width,512,1.6387486461155731e-06,,False,False
lateral_x5_y1,constant_width,1024,5.996221155157855e-07,,False,False
lateral_x5_y1,constant_width,2048,3.94904742240243e-08,,True,False
lateral_x5_y1,constant_width,4096,7.4380659409456484e-09,,False,False
lateral_x5_y1,constant_width,8192,1.0980794051818066e-10,,False,False
lateral_x5_y1,constant_width,16384,4.1407544060234613e-11,,False,False
lateral_x5_y2,isotropic,256,,,False,False
lateral_x5_y2,isotropic,512,2.6269975084147745e-10,,True,False
lateral_x5_y2,isotropic,1024,1.6412649017638614e-11,,False,False
lateral_x5_y2,isotropic,2048,1.0256795412999509e-12,,False,False
lateral_x5_y2,isotropic,4096,6.411537967210279e-14,,False,False
lateral_x5_y2,isotropic,8192,3.9968028886505635e-15,,False,False
lateral_x5_y2,isotropic,16384,2.498001805406602e-16,,False,False
lateral_x5_y2,expanding,256,,,False,False
lateral_x5_y2,expanding,512,3.174536329919597e-07,,False,False
lateral_x5_y2,expanding,1024,1.6833838781260546e-07,,False,False
lateral_x5_y2,expanding,2048,8.179373511829624e-09,,True,False
lateral_x5_y2,expanding,4096,3.5929884067975593e-10,,False,False
lateral_x5_y2,expanding,8192,1.819437656092049e-10,,False,False
lateral_x5_y2,expanding,16384,2.140165822339668e-11,,False,False
lateral_x5_y2,constant_width,256,,,False,False
lateral_x5_y2,constant_width,512,2.952762647445706e-07,,False,False
lateral_x5_y2,constant_width,1024,1.6703218755353966e-07,,False,False
lateral_x5_y2,constant_width,2048,8.072164603412091e-09,,True,False
lateral_x5_y2,constant_width,4096,3.0207654433400677e-10,,False,False
lateral_x5_y2,constant_width,8192,1.5568304978508252e-10,,False,False
lateral_x5_y2,constant_width,16384,1.6711923511714133e-11,,False,False
lateral_x5_y5,isotropic,256,,,False,False
lateral_x5_y5,isotropic,512,1.9029907857848194e-11,,True,False
lateral_x5_y5,isotropic,1024,1.1889256940067483e-12,,False,False
lateral_x5_y5,isotropic,2048,7.43016759230386e-14,,False,False
lateral_x5_y5,isotropic,4096,4.6455894686658894e-15,,False,False
lateral_x5_y5,isotropic,8192,2.8796409701215e-16,,False,False
lateral_x5_y5,isotropic,16384,1.9081958235744878e-17,,False,False
lateral_x5_y5,expanding,256,,,False,False
lateral_x5_y5,expanding,512,8.957452019161226e-11,,True,False
lateral_x5_y5,expanding,1024,2.2328705643346117e-11,,False,False
lateral_x5_y5,expanding,2048,1.5363409193924413e-11,,False,False
lateral_x5_y5,expanding,4096,3.1648286151052946e-12,,False,False
lateral_x5_y5,expanding,8192,2.068165517316034e-13,,False,False
lateral_x5_y5,expanding,16384,5.982318590155855e-14,,False,False
lateral_x5_y5,constant_width,256,,,False,False
lateral_x5_y5,constant_width,512,2.9499975478765794e-10,,True,False
lateral_x5_y5,constant_width,1024,1.0566728532614275e-11,,False,False
lateral_x5_y5,constant_width,2048,3.3086113601470124e-12,,False,False
lateral_x5_y5,constant_width,4096,8.400641293704325e-13,,False,False
lateral_x5_y5,constant_width,8192,6.234227543922e-14,,False,False
lateral_x5_y5,constant_width,16384,1.708043632204191e-14,,False,False
lateral_x10_y0,isotropic,256,,,False,False
lateral_x10_y0,isotropic,512,9.908740494779522e-13,,True,False
lateral_x10_y0,isotropic,1024,6.206146707654625e-14,,False,False
lateral_x10_y0,isotropic,2048,3.885780586188048e-15,,False,False
lateral_x10_y0,isotropic,4096,2.220446049250313e-16,,False,False
lateral_x10_y0,isotropic,8192,5.551115123125783e-17,,False,False
lateral_x10_y0,isotropic,16384,0.0,,False,False
lateral_x10_y0,expanding,256,,,False,False
lateral_x10_y0,expanding,512,3.0870238939550987e-06,,False,False
lateral_x10_y0,expanding,1024,2.4090210593019634e-07,,False,False
lateral_x10_y0,expanding,2048,5.3133893174184266e-08,,True,False
lateral_x10_y0,expanding,4096,3.715589058650437e-09,,False,False
lateral_x10_y0,expanding,8192,8.110797589111485e-10,,False,False
lateral_x10_y0,expanding,16384,5.824551951860713e-11,,False,False
lateral_x10_y0,constant_width,256,,,False,False
lateral_x10_y0,constant_width,512,3.0870238939550987e-06,,False,False
lateral_x10_y0,constant_width,1024,2.4090210593019634e-07,,False,False
lateral_x10_y0,constant_width,2048,5.3133893174184266e-08,,True,False
lateral_x10_y0,constant_width,4096,3.715589058650437e-09,,False,False
lateral_x10_y0,constant_width,8192,8.110797589111485e-10,,False,False
lateral_x10_y0,constant_width,16384,5.824551951860713e-11,,False,False
lateral_x10_y1,isotropic,256,,,False,False
lateral_x10_y1,isotropic,512,8.744116541947733e-13,,True,False
lateral_x10_y1,isotropic,1024,5.4817261840867104e-14,,False,False
lateral_x10_y1,isotropic,2048,3.4139358007223564e-15,,False,False
lateral_x10_y1,isotropic,4096,2.220446049250313e-16,,False,False
lateral_x10_y1,isotropic,8192,2.7755575615628914e-17,,False,False
lateral_x10_y1,isotropic,16384,2.7755575615628914e-17,,False,False
lateral_x10_y1,expanding,256,,,False,False
lateral_x10_y1,expanding,512,2.987810586385642e-06,,False,False
lateral_x10_y1,expanding,1024,5.014571885508801e-07,,False,False
lateral_x10_y1,expanding,2048,1.8573522941878196e-08,,True,False
lateral_x10_y1,expanding,4096,3.613627230780736e-09,,False,False
lateral_x10_y1,expanding,8192,8.160339071139333e-10,,False,False
lateral_x10_y1,expanding,16384,1.2570272600598287e-10,,False,False
lateral_x10_y1,constant_width,256,,,False,False
lateral_x10_y1,constant_width,512,2.995886182299845e-06,,False,False
lateral_x10_y1,constant_width,1024,4.985927546941049e-07,,False,False
lateral_x10_y1,constant_width,2048,1.7421286913066325e-08,,True,False
lateral_x10_y1,constant_width,4096,3.5015218502465473e-09,,False,False
lateral_x10_y1,constant_width,8192,8.105356386067797e-10,,False,False
lateral_x10_y1,constant_width,16384,1.2332423970917716e-10,,False,False
lateral_x10_y2,isotropic,256,,,False,False
lateral_x10_y2,isotropic,512,6.009914788052129e-13,,True,False
lateral_x10_y2,isotropic,1024,3.7664316110408436e-14,,False,False
lateral_x10_y2,isotropic,2048,2.3314683517128287e-15,,False,False
lateral_x10_y2,isotropic,4096,1.6653345369377348e-16,,False,False
lateral_x10_y2,isotropic,8192,0.0,,False,False
lateral_x10_y2,isotropic,16384,0.0,,False,False
lateral_x10_y2,expanding,256,,,False,False
lateral_x10_y2,expanding,512,9.78862015221793e-07,,False,False
lateral_x10_y2,expanding,1024,1.4991443458844955e-07,,False,False
lateral_x10_y2,expanding,2048,5.9192070966940236e-08,,True,False
lateral_x10_y2,expanding,4096,3.2523633786141204e-09,,False,False
lateral_x10_y2,expanding,8192,4.777371831465871e-10,,False,False
lateral_x10_y2,expanding,16384,4.6758652505474174e-11,,False,False
lateral_x10_y2,constant_width,256,,,False,False
lateral_x10_y2,constant_width,512,9.985145483504265e-07,,False,False
lateral_x10_y2,constant_width,1024,1.3923615091449015e-07,,False,False
lateral_x10_y2,constant_width,2048,5.597086721875755e-08,,True,False
lateral_x10_y2,constant_width,4096,2.8508531646487256e-09,,False,False
lateral_x10_y2,constant_width,8192,4.3229081425621985e-10,,False,False
lateral_x10_y2,constant_width,16384,4.2928771648576e-11,,False,False
lateral_x10_y5,isotropic,256,,,False,False
lateral_x10_y5,isotropic,512,4.353462035311395e-14,,True,False
lateral_x10_y5,isotropic,1024,2.7269853042355408e-15,,False,False
lateral_x10_y5,isotropic,2048,1.700029006457271e-16,,False,False
lateral_x10_y5,isotropic,4096,1.214306433183765e-17,,False,False
lateral_x10_y5,isotropic,8192,0.0,,False,False
lateral_x10_y5,isotropic,16384,0.0,,False,False
lateral_x10_y5,expanding,256,,,False,False
lateral_x10_y5,expanding,512,1.804263320866195e-08,,True,False
lateral_x10_y5,expanding,1024,7.644712448143243e-09,,False,False
lateral_x10_y5,expanding,2048,9.305873857959335e-10,,False,False
lateral_x10_y5,expanding,4096,8.76744536346119e-11,,False,False
lateral_x10_y5,expanding,8192,2.3063356779928768e-12,,False,False
lateral_x10_y5,expanding,16384,1.652671055563104e-14,,False,False
lateral_x10_y5,constant_width,256,,,False,False
lateral_x10_y5,constant_width,512,5.4336551332575395e-09,,True,False
lateral_x10_y5,constant_width,1024,3.570243955509922e-09,,False,False
lateral_x10_y5,constant_width,2048,4.5940559516288726e-10,,False,False
lateral_x10_y5,constant_width,4096,4.191971617918677e-11,,False,False
lateral_x10_y5,constant_width,8192,1.1049800397594511e-12,,False,False
lateral_x10_y5,constant_width,16384,1.1390411183698212e-14,,False,False
lateral_x15_y0,isotropic,256,,,False,False
lateral_x15_y0,isotropic,512,4.331186798101072e-10,,True,False
